mmsi,country_name,Search,Manual Label,Notes,Person,nn_times_classified_all,nn_number_max_labels_all,nn_average_length_all,nn_max_label_all,nn_max_score_all,nn_max_label_fishing_all,nn_max_fishing_score_all,nn_max_sublabel_all,nn_max_sub_score_all,nn_max_sublabel_fishing_all,nn_max_sub_fishing_score_all,positions,active_positions,active_hours,fishing_points,num_A,num_B,iso3,,average_length,avg_num_distinct_lengths,avg_width,number_valid_length_messages,gap_hours,num_gaps,training_label,training_sublabel,training_length,training_listsources,spoofing_hours,num_overlapping_segs,fishing_fraction
413993159,China,https://www.google.com/search?q=mmsi%20413993159,,,,1,1,10.49709701538086,Cargo_Tanker,0.9999942779541016,Trawlers,5.084431764501574E-10,Cargo,0.9809421300888062,Trawlers,2.650182850949534E-10,7130,2394,1223.6927777777778,0,0,0,CHN,,38.066202090592334,2.0,7.118466898954704,287,,,,,,,,,0.0
413772401,China,https://www.google.com/search?q=mmsi%20413772401,,,,2,1,1.3489818572998047,Cargo_Tanker,0.9999939203262329,Trawlers,7.995799508608847E-11,Cargo,0.9776098132133484,Squid,5.1842993439854546E-11,3840,2412,3486.1080555555563,0,1246,0,CHN,,52.0,1.0,11.0,2047,,,,,,,,,0.0
413462890,China,https://www.google.com/search?q=mmsi%20413462890,,,,2,1,14.799783706665039,Passenger,0.9999920129776001,Trawlers,4.57274715870426E-7,Sailing,0.9999579191207886,Trawlers,3.6221722439222503E-6,2094,1493,5194.572222222221,9,436,0,CHN,,26.0,1.0,5.0,314,,,,,,,,,0.006028131279303416
412420871,China,https://www.google.com/search?q=mmsi%20412420871,,,,4,1,7.473975658416748,Cargo_Tanker,0.9999858140945435,Squid,1.4050505971167243E-10,Cargo,0.9512167870998383,Squid,5.1834788189342846E-11,14973,14859,320165.2140277778,1,124,0,CHN,,48.0,1.0,8.0,93,160.17111111111112,3,,,,,0.24888888888888888,1,6.729927989770509E-5
413789798,China,https://www.google.com/search?q=mmsi%20413789798,,,,3,1,5.30834166208903,Cargo_Tanker,0.9999819993972778,Trawlers,1.9597685488315086E-9,Cargo,0.9466647108395895,Trawlers,1.0597698737087786E-9,1276,1099,851.2755555555555,0,324,0,CHN,,40.0,1.0,10.0,303,,,,,,,,,0.0
413901854,China,https://www.google.com/search?q=mmsi%20413901854,,,,1,1,2.808320999145508,Cargo_Tanker,0.9999812841415405,Trawlers,4.329177016870744E-9,Cargo,0.8961677551269531,Trawlers,1.6659654766826293E-9,2001,1733,2024.002638888889,1,701,0,CHN,,39.9969208136207,1.6666666666666667,9.040575170842825,873,,,,,,,,,5.770340450086555E-4
413508660,China,https://www.google.com/search?q=mmsi%20413508660,,,,1,1,22.091285705566406,Cargo_Tanker,0.9999711513519287,Trawlers,6.370122651588872E-9,Tanker,0.51258385181427,Trawlers,8.043397947687936E-9,3217,1122,307.15013888888893,3,0,0,CHN,,49.97849462365591,2.0,12.494623655913978,93,,,,,,,8.934166666666666,1,0.00267379679144385
413781529,China,https://www.google.com/search?q=mmsi%20413781529,,,,2,1,8.729308128356934,Cargo_Tanker,0.9999693632125854,Trawlers,1.0799867104132124E-9,Cargo,0.9753782153129578,Trawlers,7.170549911760145E-10,2262,2136,2357.137361111111,0,640,0,CHN,,44.0,1.0,8.0,1340,,,,,,,,,0.0
413810112,China,https://www.google.com/search?q=mmsi%20413810112,,,,4,1,-1.284568428993225,Cargo_Tanker,0.9999605715274811,Squid,5.91896459622987E-8,Cargo,0.9533428847789764,Squid,4.000901493439457E-8,2615,2402,2076.0454166666664,6,528,0,CHN,,48.08064516129032,2.0,8.012903225806452,620,,,,,,,,,0.002497918401332223
412462342,China,https://www.google.com/search?q=mmsi%20412462342,,,,1,1,-18.349132537841797,Cargo_Tanker,0.9999419450759888,Trawlers,7.566160142857825E-9,Cargo,0.942007839679718,Trawlers,5.536171965303538E-9,1340,1123,1643.6105555555553,15,433,0,CHN,,15.0,1.0,3.0,533,,,,,,,,,0.013357079252003561
413779619,China,https://www.google.com/search?q=mmsi%20413779619,,,,3,1,14.983094851175943,Cargo_Tanker,0.9999378720919291,Trawlers,3.0914317309764052E-9,Cargo,0.9654709895451864,Trawlers,1.8980118865474793E-9,3388,2808,3128.6916666666666,0,936,0,CHN,,32.09576682859125,2.0,6.05412907702984,1508,,,,,,,,,0.0
413781262,China,https://www.google.com/search?q=mmsi%20413781262,,,,1,1,11.582723617553711,Cargo_Tanker,0.9999217987060547,Trawlers,9.611397233655339E-10,Cargo,0.9922164678573608,Squid,2.498434570341601E-9,2180,1985,1181.0720833333335,0,544,0,CHN,,37.0,1.0,7.0,660,,,,,,,,,0.0
413762823,China,https://www.google.com/search?q=mmsi%20413762823,,,,8,1,27.9424786567688,Cargo_Tanker,0.9999217540025711,Trawlers,5.930156946683425E-8,Tanker,0.7592227756977081,Trawlers,2.5449680446864523E-8,13818,5756,1649.8386111111113,2,4033,0,CHN,,111.97990594271056,3.0,17.045104745617785,4678,,,,,,,0.03972222222222222,1,3.4746351633078526E-4
412421347,China,https://www.google.com/search?q=mmsi%20412421347,,,,1,1,19.231611251831055,Seismic_vessel,0.9999215602874756,Trawlers,1.1969815204793122E-5,Seismic_vessel,0.9999412298202515,Trawlers,2.1113721231813543E-5,2494,1009,677.7106944444444,13,439,0,CHN,,45.0,1.0,7.0,960,3301.1241666666665,9,,,,,,,0.01288404360753221
413905362,China,https://www.google.com/search?q=mmsi%20413905362,,,,6,1,6.509684165318807,Cargo_Tanker,0.9999186992645264,Squid,2.380294299338115E-10,Cargo,0.9833069245020548,Squid,3.0137748422986017E-10,6171,4738,4311.409027777778,2,2049,0,CHN,,36.99922239502333,1.3333333333333333,8.02099533437014,2027,,,,,,,,,4.2211903756859433E-4
412690350,China,https://www.google.com/search?q=mmsi%20412690350,,,,2,1,-1.4319872856140137,Cargo_Tanker,0.999900609254837,Squid,1.0001114825186619E-8,Cargo,0.8396634459495544,Squid,5.3902911023584466E-9,14819,14126,287088.79805555556,18,166,0,CHN,,40.0,1.0,8.0,2110,198.60694444444442,5,,,,,2.110045324611114E7,12231,0.0012742460710746142
413976549,China,https://www.google.com/search?q=mmsi%20413976549,,,,1,1,19.446434020996094,Cargo_Tanker,0.9998912811279297,Squid,1.1180294468005059E-9,Cargo,0.9881784319877625,Squid,1.1600153060342677E-9,1492,1476,1279.2601388888888,0,957,0,CHN,,40.0,1.0,8.026470588235293,787,,,,,,,,,0.0
413817494,China,https://www.google.com/search?q=mmsi%20413817494,,,,3,1,15.215449968973795,Cargo_Tanker,0.9998852213223776,Squid,1.8140504677114737E-9,Cargo,0.9670846462249756,Squid,1.091443857167973E-9,2218,2040,2438.0474999999997,0,660,0,CHN,,44.0,1.0,9.0,1153,,,,,,,,,0.0
413826556,China,https://www.google.com/search?q=mmsi%20413826556,,,,4,1,17.439982652664185,Cargo_Tanker,0.9998759776353836,Squid,2.5563886915202887E-8,Cargo,0.9057665467262268,Squid,2.6037442707438872E-8,9116,3342,1252.4833333333333,0,542,0,CHN,,83.00351887396033,2.0,15.023293907206238,1754,,,,,,,,,0.0
413776779,China,https://www.google.com/search?q=mmsi%20413776779,,,,1,1,13.767492294311523,Cargo_Tanker,0.99985671043396,Squid,2.694090506238922E-10,Cargo,0.9884824156761169,Squid,2.862824977079015E-10,2969,1967,1506.4444444444443,0,200,0,CHN,,46.0,1.0,9.0,364,,,,,,,,,0.0
413986493,China,https://www.google.com/search?q=mmsi%20413986493,,,,5,1,14.506847953796386,Cargo_Tanker,0.9998358130455017,Trawlers,3.271935768989209E-8,Cargo,0.9212850570678711,Trawlers,1.658840773632875E-8,3238,3097,4315.1227777777785,0,2049,0,CHN,,47.97655343097629,1.6666666666666667,10.000819863688085,2186,,,,,,,,,0.0
413771966,China,https://www.google.com/search?q=mmsi%20413771966,,,,4,1,22.944885730743408,Cargo_Tanker,0.9998285323381424,Trawlers,2.069145549343787E-9,Cargo,0.9647885113954544,Trawlers,1.728389917299289E-9,6981,3262,2417.315555555556,0,0,0,CHN,,45.0,1.0,8.0,81,,,,,,,,,0.0
413444480,China,https://www.google.com/search?q=mmsi%20413444480,,,,1,1,21.803430557250977,Cargo_Tanker,0.9997962117195129,Trawlers,2.703121424474375E-7,Tanker,0.6461344361305237,Trawlers,1.5557661470211315E-7,18804,5063,852.725833333334,43,0,0,CHN,,66.0,1.0,16.0,21843,3098.134444444445,3,,,,,,,0.008492988346829943
413301150,China,https://www.google.com/search?q=mmsi%20413301150,,,,1,1,32.06004333496094,Cargo_Tanker,0.9997873902320862,Trawlers,1.789947987163032E-6,Tanker,0.9541750550270081,Trawlers,5.793310151602782E-7,80344,10532,3962.0677777777773,190,7668,0,CHN,,,,,,6686.324166666665,116,,,,,,,0.01804025826053931
413760424,China,https://www.google.com/search?q=mmsi%20413760424,,,,4,1,9.464961230754852,Cargo_Tanker,0.9997790157794952,Trawlers,2.0210048473114084E-7,Cargo,0.8991032242774963,Trawlers,6.65271412368662E-8,1091,1088,1248.3601388888892,0,123,0,CHN,,36.0,1.0,7.0,72,,,,,,,,,0.0
412469524,China,https://www.google.com/search?q=mmsi%20412469524,,,,1,1,3.078672170639038,Passenger,0.9997722506523132,Trawlers,1.7189975665132806E-8,Sailing,0.9997724890708923,Trawlers,3.3527111753528516E-8,1370,1162,1104.1727777777778,33,351,0,CHN,,29.0,1.0,5.0,939,2663.258611111111,6,,,,,,,0.028399311531841654
413776745,China,https://www.google.com/search?q=mmsi%20413776745,,,,1,1,17.29044532775879,Cargo_Tanker,0.9997720122337341,Trawlers,1.5965552435659447E-8,Cargo,0.9555858969688416,Trawlers,9.55753343134802E-9,1616,1337,898.1223611111111,0,381,0,CHN,,44.0,1.0,8.0,539,,,,,,,,,0.0
412434207,China,https://www.google.com/search?q=mmsi%20412434207,,,,1,1,-2.4516072273254395,Passenger,0.999757707118988,Trawlers,2.4940495677583385E-6,Sailing,0.9979735016822815,Pots_and_traps,7.2892515163403E-5,1700,1514,1845.9854166666662,3,3,0,CHN,,43.0,1.0,6.0,52,,,,,,,,,0.0019815059445178335
413769355,China,https://www.google.com/search?q=mmsi%20413769355,,,,1,1,23.780210494995117,Cargo_Tanker,0.9997357726097107,Trawlers,1.9173753695866935E-9,Cargo,0.9753402471542358,Trawlers,2.4409954058057792E-9,1296,1290,796.3845833333335,0,476,0,CHN,,85.0,1.0,14.0,504,,,,,,,,,0.0
413784278,China,https://www.google.com/search?q=mmsi%20413784278,,,,6,1,12.616577625274658,Cargo_Tanker,0.9997196992238363,Trawlers,1.7308174344348008E-8,Cargo,0.9611958960692087,Squid,1.0644963893250274E-8,6124,4768,3231.1254166666668,0,1078,0,CHN,,39.01848397068434,1.75,8.064827314849364,1496,,,,,,,,,0.0
413764633,China,https://www.google.com/search?q=mmsi%20413764633,,,,2,1,22.876365661621094,Cargo_Tanker,0.9996788501739502,Squid,4.663647135139115E-9,Cargo,0.9591536223888397,Squid,9.027963487895363E-9,1753,1412,1024.5216666666668,0,810,0,CHN,,41.0,1.0,8.0,896,,,,,,,,,0.0
412469137,China,https://www.google.com/search?q=mmsi%20412469137,,,,1,1,5.431679725646973,Passenger,0.9996639490127563,Trawlers,3.62831968914179E-7,Sailing,0.9997610449790955,Trawlers,5.762025239164359E-7,2515,2096,1897.6412500000001,36,719,0,CHN,,35.994263862332694,1.3333333333333333,5.997131931166348,1328,8782.397222222222,41,,,,,,,0.01717557251908397
413766919,China,https://www.google.com/search?q=mmsi%20413766919,,,,2,1,11.589796543121338,Cargo_Tanker,0.9996388256549835,Squid,7.298584792092555E-10,Cargo,0.9784139394760132,Squid,6.602040025782685E-10,4904,3474,1520.685833333333,0,0,0,CHN,,49.0,1.0,9.0,1013,,,,,,,,,0.0
413902432,China,https://www.google.com/search?q=mmsi%20413902432,,,,5,1,9.466585969924926,Cargo_Tanker,0.9996329307556152,Trawlers,5.7327036595555826E-8,Cargo,0.9750831365585327,Trawlers,3.929974133898284E-8,7683,5304,3759.7373611111116,247,3132,0,CHN,,50.0,1.0,11.248285672599941,2482,,,,,,,,,0.04656862745098039
413468860,China,https://www.google.com/search?q=mmsi%20413468860,,,,6,1,19.543190956115723,Cargo_Tanker,0.9996171096960703,Trawlers,4.936707836162314E-6,Tanker,0.9646688302357992,Trawlers,1.6709416870781986E-6,98537,5333,1222.3920833333332,38,28038,0,CHN,,48.9999328880297,1.6666666666666667,9.00270559481074,39038,,,,,,,1308.3758333333335,2,0.007125445340333771
