mmsi,inferred,known
201100096,passenger,
201100097,cargo_or_tanker,
201100108,cargo_or_tanker,
201100115,cargo_or_tanker,
201100129,cargo_or_tanker,
201100134,cargo_or_tanker,
201100136,cargo_or_tanker,
201100138,passenger,
201200104,trawlers,
201200318,purse_seines,
201201965,passenger,
201204022,purse_seines,
201204131,cargo_or_tanker,
201206011,cargo_or_tanker,
201208170,tug,
201211248,trawlers,
201211288,trawlers,
20121968,cargo_or_tanker,
2012586,passenger,
201260201,cargo_or_tanker,
201260528,cargo_or_tanker,
20215,cargo_or_tanker,
20237,passenger,
20249951,tug,
20315318,tug,
203221652,tug,
203235000,drifting_longlines,
203272219,passenger,
203277200,passenger,
203287200,passenger,passenger
203999248,cargo_or_tanker,
203999302,passenger,
203999303,passenger,
203999319,passenger,
203999323,passenger,
203999325,passenger,
203999327,passenger,
203999335,cargo_or_tanker,
203999337,passenger,
203999338,tug,
203999343,passenger,
203999345,cargo_or_tanker,
203999349,tug,
203999350,cargo_or_tanker,
203999351,passenger,
203999354,tug,
203999362,passenger,
203999371,passenger,
203999373,cargo_or_tanker,
203999378,tug,
203999379,tug,
203999389,tug,
203999390,tug,
203999391,tug,
203999404,tug,
2040309,cargo_or_tanker,
204206750,passenger,
204209840,fixed_gear,other_fishing
204209890,purse_seines,
204211000,drifting_longlines,drifting_longlines
204212000,drifting_longlines,
204225000,fixed_gear,
204226000,drifting_longlines,
204228000,drifting_longlines,
204229000,trawlers,trawlers
204232000,drifting_longlines,drifting_longlines
204243000,trawlers,trawlers
204259000,drifting_longlines,
204260000,trawlers,trawlers
204264000,drifting_longlines,other_fishing
204284000,fixed_gear,
204600008,tug,
204600009,cargo_or_tanker,
20467,cargo_or_tanker,
204670570,passenger,
204701240,passenger,
204701250,passenger,
204701360,passenger,
204706000,drifting_longlines,
204708000,cargo_or_tanker,
204709000,cargo_or_tanker,cargo_or_tanker
204807000,purse_seines,other_fishing
204811000,drifting_longlines,
204812000,purse_seines,
204835000,purse_seines,other_fishing
204836000,other_fishing,
204856000,fixed_gear,
204862000,drifting_longlines,drifting_longlines
205000000,cargo_or_tanker,
205000001,cargo_or_tanker,
205001000,tug,tug
205002000,cargo_or_tanker,
205004000,tug,
205007400,passenger,
205008600,cargo_or_tanker,cargo_or_tanker
205010190,cargo_or_tanker,
205013000,passenger,tug
205030000,cargo_or_tanker,
205033000,passenger,
205035000,tug,
205036000,tug,
205037800,passenger,
205038000,cargo_or_tanker,
205040000,tug,
205041400,cargo_or_tanker,
205041700,cargo_or_tanker,
205042000,passenger,
205043000,cargo_or_tanker,
205044100,cargo_or_tanker,
205045800,cargo_or_tanker,
205048000,cargo_or_tanker,
205049000,tug,
205050000,tug,
205051000,tug,
205052900,cargo_or_tanker,
205053000,cargo_or_tanker,
205054000,tug,
205057000,tug,tug
205058100,cargo_or_tanker,
205062000,cargo_or_tanker,
205063000,tug,
205065000,tug,tug
205067000,tug,
205071000,tug,tug
205074000,tug,tug
205082000,tug,tug
205084000,tug,
205085300,cargo_or_tanker,
205086000,tug,
205087000,cargo_or_tanker,tug
205088000,passenger,
205089000,passenger,
205090000,passenger,
205092000,tug,
205094000,tug,
205095000,tug,
205098000,fixed_gear,
205099000,tug,
205106000,trawlers,trawlers
205107000,passenger,
205108000,passenger,
205109000,cargo_or_tanker,
205110000,passenger,
205111000,cargo_or_tanker,
205112000,passenger,
205112490,tug,
205114000,cargo_or_tanker,
205116000,passenger,
205122090,cargo_or_tanker,
205126000,tug,
205127000,cargo_or_tanker,
205132000,cargo_or_tanker,
205146000,passenger,
205149000,trawlers,
205153000,trawlers,trawlers
205155000,trawlers,
205161000,other_fishing,
205162000,trawlers,trawlers
205165000,trawlers,
205169000,trawlers,
205170000,trawlers,
205172000,tug,
205175000,cargo_or_tanker,
205177000,tug,tug
205179000,tug,
205180217,passenger,
205180219,passenger,
205182000,tug,
205188000,tug,tug
205189000,passenger,
205191000,trawlers,
205192000,trawlers,trawlers
205193000,tug,
205194000,cargo_or_tanker,cargo_or_tanker
205197000,trawlers,trawlers
205199000,tug,tug
205200190,cargo_or_tanker,
205200390,cargo_or_tanker,
205200490,cargo_or_tanker,
205200690,cargo_or_tanker,
205201090,cargo_or_tanker,
205201690,cargo_or_tanker,
205201790,cargo_or_tanker,
205202090,cargo_or_tanker,
205202190,cargo_or_tanker,
205202290,tug,
205202690,cargo_or_tanker,
205202790,cargo_or_tanker,
205203100,passenger,
205203124,cargo_or_tanker,
205203190,cargo_or_tanker,
205203390,tug,
205203463,cargo_or_tanker,
205203490,cargo_or_tanker,
205203590,cargo_or_tanker,
205203634,cargo_or_tanker,
205203850,cargo_or_tanker,
205203990,tug,
205204000,cargo_or_tanker,
205204390,cargo_or_tanker,
205205000,passenger,
205205190,cargo_or_tanker,
205205490,tug,
205205690,cargo_or_tanker,
205205790,cargo_or_tanker,
205206190,cargo_or_tanker,
205206390,cargo_or_tanker,
205206490,cargo_or_tanker,
205206590,cargo_or_tanker,
205206690,cargo_or_tanker,
205207000,passenger,
205207190,cargo_or_tanker,
205207290,tug,
205208490,cargo_or_tanker,
205208690,cargo_or_tanker,
205209000,passenger,
205209890,cargo_or_tanker,
205209990,cargo_or_tanker,
205210190,cargo_or_tanker,
205210690,cargo_or_tanker,
205210890,cargo_or_tanker,
205211000,cargo_or_tanker,
205211190,cargo_or_tanker,
205211790,cargo_or_tanker,
205212000,passenger,
205212390,cargo_or_tanker,cargo_or_tanker
205212590,cargo_or_tanker,
205212890,passenger,
205213590,cargo_or_tanker,
205213690,cargo_or_tanker,
205214890,cargo_or_tanker,
205214990,cargo_or_tanker,
205215000,passenger,
205215190,passenger,
205215290,cargo_or_tanker,
205215590,cargo_or_tanker,
205216000,cargo_or_tanker,
205217000,passenger,
205217990,cargo_or_tanker,
205218000,cargo_or_tanker,
205218190,cargo_or_tanker,
205218290,cargo_or_tanker,
205218590,cargo_or_tanker,
205218690,cargo_or_tanker,
205218990,cargo_or_tanker,
