,mmsi,label,length,tonnage
319,636092399,Reefer,154.0,11417.0
320,311665000,Reefer,152.0,13099.0
321,311667000,Reefer,152.0,13312.0
322,636092400,Reefer,154.0,11417.0
323,306083000,Reefer,185.91,18931.0
324,310493000,Reefer,185.91,18931.0
325,308701000,Reefer,178.5,14061.0
326,245723000,Reefer,165.0,14091.0
327,308511000,Reefer,178.5,14061.0
328,636014655,Reefer,165.0,14091.0
329,308512000,Reefer,178.5,14061.0
330,563418000,Reefer,134.15,6534.0
331,577122000,Reefer,134.15,6558.0
332,352894000,Reefer,113.0,4499.0
333,538002996,Reefer,115.9,4261.0
334,441377000,Reefer,103.6,3919.0
335,311296000,Reefer,141.17,10584.0
336,249842000,Reefer,124.69,4964.0
337,312284000,Reefer,109.7,5624.0
338,305723000,Reefer,109.7,5624.0
339,353019000,Reefer,102.81,4109.0
340,440220000,Reefer,94.01,2604.0
341,245317000,Reefer,127.0,5471.0
342,352349000,Reefer,125.01,7307.0
343,577089000,Reefer,120.12,4643.0
344,440217000,Reefer,112.04,4643.0
345,529605000,Reefer,97.4,2839.0
346,667003336,Reefer,97.4,2839.0
347,352475000,Reefer,120.73,4392.0
348,567175000,Reefer,81.73,2285.0
349,567175000,Reefer,81.73,2285.0
350,567011500,Reefer,81.73,2285.0
351,371100000,Reefer,88.32,2436.0
352,357745000,Reefer,88.32,2436.0
353,229587000,Reefer,148.0,9072.0
354,371812000,Reefer,140.44,9072.0
355,636013648,Reefer,140.0,9072.0
356,371295000,Reefer,99.7,3830.0
357,356889000,Reefer,100.72,3767.0
358,515777000,Reefer,144.5,7286.0
359,515183000,Reefer,144.5,7286.0
360,374410000,Reefer,144.5,7286.0
361,229644000,Reefer,129.0,6399.0
362,357670000,Reefer,137.55,6399.0
363,371156000,Reefer,129.2,6399.0
364,355894000,Reefer,94.71,2689.0
365,352545000,Reefer,96.7,2689.0
366,567492000,Reefer,96.45,2689.0
367,273317810,Reefer,78.11,1728.0
368,273313950,Reefer,78.11,1728.0
369,515863000,Reefer,73.0,1341.0
370,311123000,Reefer,169.0,12660.0
371,374612000,Reefer,169.0,12660.0
372,374445000,Reefer,144.5,7286.0
373,367773000,Reefer,60.69,7251.0
374,412660240,Reefer,73.99,1328.0
375,412420329,Reefer,70.0,8848.0
376,412440004,Reefer,32.0,2958.0
377,247601000,Reefer,189.73,14868.0
378,312022000,Reefer,93.0,2502.0
379,212373000,Reefer,115.02,4878.0
380,210966000,Reefer,139.7,8864.0
381,258818000,Reefer,120.5,6419.0
382,353773000,Reefer,130.02,6873.0
383,352686000,Reefer,143.75,8520.0
384,352686000,Reefer,143.75,8520.0
385,355076000,Reefer,144.0,9083.0
386,357322000,Reefer,145.48,9340.0
387,357676000,Reefer,136.42,7355.0
388,357697000,Reefer,138.0,7959.0
389,356134000,Reefer,100.64,2754.0
390,351238000,Reefer,65.0,952.0
391,273316080,Reefer,75.37,1901.0
392,273382550,Reefer,105.0,4190.0
393,273417300,Reefer,114.54,4192.0
394,273312950,Reefer,95.6,2462.0
395,273820700,Reefer,86.06,2390.0
396,273428710,Reefer,55.61,720.0
397,273811510,Reefer,85.06,2414.0
398,273810710,Reefer,179.0,32096.0
399,273563210,Reefer,85.06,2388.0
400,273432530,Reefer,99.35,3212.0
401,273897100,Reefer,126.3,8289.0
402,273434080,Reefer,65.11,1009.0
403,273436790,Reefer,83.89,1967.0
404,273856100,Reefer,126.3,8289.0
405,273847200,Reefer,126.3,8289.0
406,273339230,Reefer,67.29,1252.0
407,273339110,Reefer,75.76,1431.0
408,273825700,Reefer,126.3,8289.0
409,308566000,Reefer,121.9,4833.0
410,308372000,Reefer,121.9,4830.0
411,311126000,Reefer,150.35,10614.0
412,308705000,Reefer,178.5,14061.0
413,308462000,Reefer,121.9,4830.0
414,309785000,Reefer,142.15,8924.0
415,616401000,Reefer,75.21,1753.0
416,616575000,Reefer,101.28,2969.0
417,518100019,Reefer,96.96,2768.0
418,514740000,Reefer,96.96,2768.0
419,341852000,Reefer,96.96,2768.0
420,306336000,Reefer,137.49,8962.0
421,306216000,Reefer,140.0,8414.0
422,306084000,Reefer,185.91,18931.0
423,310494000,Reefer,185.91,18931.0
424,306335000,Reefer,137.49,8962.0
425,306338000,Reefer,137.7,9008.0
426,636015529,Reefer,135.5,7534.0
427,273394490,Reefer,135.5,7534.0
428,636014240,Reefer,184.8,15292.0
429,636017275,Reefer,91.48,2717.0
430,636009672,Reefer,153.5,12887.0
431,636013650,Reefer,152.0,13312.0
432,636017301,Reefer,88.94,2581.0
433,636009174,Reefer,153.5,12887.0
434,636013069,Reefer,158.53,11590.0
435,636014241,Reefer,184.8,15292.0
436,636009381,Reefer,153.5,12887.0
437,636016278,Reefer,150.11,10374.0
438,576411000,Reefer,154.0,11438.0
439,515887000,Reefer,110.0,2244.0
440,514087000,Reefer,49.9,392.0
441,677038700,Reefer,49.9,392.0
442,514295000,Reefer,47.0,573.0
443,440707000,Reefer,47.0,573.0
444,514930000,Reefer,57.66,807.0
445,334640000,Reefer,79.21,1289.0
446,0,Reefer,79.21,1289.0
447,334980000,Reefer,92.74,2502.0
448,529620000,Reefer,127.52,4961.0
449,455302000,Reefer,83.26,1954.0
450,455266000,Reefer,83.89,1999.0
451,677026400,Reefer,75.39,1884.0
452,567391000,Reefer,92.77,2413.0
453,567115000,Reefer,76.41,1448.0
454,567486000,Reefer,91.12,2243.0
455,567004800,Reefer,96.98,2988.0
456,567006700,Reefer,82.83,1812.0
457,567451000,Reefer,99.57,2649.0
458,567188000,Reefer,107.68,3624.0
459,538004839,Reefer,144.0,12348.0
460,235661000,Reefer,144.0,12348.0
461,538004732,Reefer,144.76,12411.0
462,319235000,Reefer,144.76,12411.0
463,538004733,Reefer,144.63,12401.0
464,319067000,Reefer,144.63,12401.0
465,538004840,Reefer,144.6,12348.0
466,235660000,Reefer,144.6,12348.0
467,538001908,Reefer,155.27,11443.0
468,538004731,Reefer,144.71,12401.0
469,319166000,Reefer,144.71,12401.0
470,538004729,Reefer,144.79,12411.0
471,319245000,Reefer,144.79,12411.0
472,667943000,Reefer,66.8,1110.0
473,341384000,Reefer,92.21,3138.0
474,312219000,Reefer,92.21,3138.0
475,341099000,Reefer,139.8,8864.0
476,341889000,Reefer,124.69,4964.0
477,341091000,Reefer,90.99,2493.0
478,341244000,Reefer,115.02,4440.0
479,376098000,Reefer,149.0,9096.0
480,248966000,Reefer,149.0,9096.0
481,341464000,Reefer,49.0,489.0
482,538001906,Reefer,155.27,11443.0
483,567476000,Reefer,80.65,2305.0
484,357048000,Reefer,80.65,2305.0
485,334548000,Reefer,125.2,4790.0
486,351795000,Reefer,125.2,4790.0
487,352308000,Reefer,78.52,1877.0
488,229360000,Reefer,78.52,1877.0
489,373837000,Reefer,179.9,20867.0
490,538007082,Reefer,179.9,20867.0
491,413202530,Reefer,98.53,3065.0
492,445018000,Reefer,98.5,4061.0
493,457747000,Reefer,98.5,4061.0
494,667003355,Reefer,57.96,975.0
495,667003355,Reefer,57.96,975.0
496,416542000,Reefer,95.2,2495.0
497,413554170,Reefer,128.0,2347.0
498,200001140,Reefer,77.0,1588.0
499,374083000,Reefer,85.32,2047.0
500,416730000,Reefer,71.4,995.0
501,412551380,Reefer,109.6,3110.0
502,636017396,Reefer,98.28,3858.0
503,725000971,Reefer,36.0,499.0
504,259555000,Reefer,36.0,499.0
505,529642000,Reefer,88.78,3683.0
506,518332000,Reefer,111.96,3936.0
507,312845000,Reefer,112.0,3936.0
508,306871000,Reefer,117.0,5110.0
509,440257000,Reefer,117.31,4988.0
510,352796000,Reefer,94.97,3475.0
511,538002995,Reefer,100.8,3475.0
512,576328000,Reefer,99.06,3989.0
513,636017162,Reefer,99.06,3989.0
514,311663000,Reefer,158.5,11658.0
515,311664000,Reefer,158.5,11658.0
516,311676000,Reefer,158.5,11658.0
517,311449000,Reefer,135.7,5103.0
518,311461000,Reefer,135.7,5103.0
519,311029000,Reefer,135.7,5103.0
520,520093696,Reefer,79.5,1419.0
521,529161000,Reefer,80.0,1410.0
522,457716000,Reefer,80.0,1410.0
523,529607000,Reefer,80.68,1998.0
524,374173000,Reefer,83.0,1998.0
525,256064000,Reefer,167.0,14413.0
526,636091009,Reefer,167.0,14413.0
527,636091008,Reefer,167.0,14413.0
528,256045000,Reefer,167.0,14413.0
529,309193000,Reefer,164.3,14406.0
530,311062300,Reefer,164.3,14406.0
531,311062200,Reefer,164.3,14406.0
532,311062400,Reefer,164.3,14406.0
533,440664000,Reefer,91.82,3387.67
534,441834000,Reefer,76.0,2840.05
535,548601000,Reefer,61.88,1292.06
536,627093246,Reefer,91.62,2856.5
537,356065000,Reefer,86.71,2592.25
538,355813000,Reefer,93.97,3065.0
539,576507000,Reefer,99.08,3818.5
540,636091098,Reefer,128.25,6222.5
541,576285000,Reefer,105.37,3516.8
542,353185000,Reefer,114.82,4166.2
543,351478000,Reefer,144.34,8996.0
544,412217989,Reefer,77.65,1776.0
545,244820009,Reefer,117.18,5106.67
546,229575000,Reefer,117.18,5106.67
547,312097000,Reefer,45.01,1122.0
548,441032000,Reefer,86.33,2104.66
549,441032000,Reefer,86.33,2104.66
550,229359000,Reefer,69.0,1267.0
551,354034000,Reefer,69.0,1267.0
552,273136500,Reefer,36.12,217.0
553,273812800,Reefer,31.85,190.0
554,375497000,Reefer,144.0,11233.0
555,412204290,Reefer,67.0,986.0
556,412320810,Reefer,54.17,399.0
557,412321260,Reefer,76.0,1736.0
558,412321320,Reefer,60.8,837.0
559,412400780,Reefer,65.8,943.0
560,412400790,Reefer,65.8,943.0
561,412400810,Reefer,60.8,826.0
562,412400940,Reefer,66.8,1097.0
563,412440560,Reefer,71.4,1194.0
564,273421900,Reefer,228.61,49367.0
565,353670000,Reefer,70.77,1238.0
566,259091000,Reefer,63.0,1468.0
567,259078000,Reefer,69.99,2189.0
568,273312180,Reefer,153.0,12398.0
569,355636000,Reefer,68.94,1267.0
570,667006086,Reefer,65.1,1028.0
571,529604000,Reefer,85.32,2047.0
572,636016239,Reefer,175.72,14505.0
573,306845000,Reefer,175.72,14505.0
574,457689000,Reefer,75.0,1884.0
575,355082000,Reefer,498.0,2502.0
576,567196000,Reefer,81.0,2732.0
577,334980000,Reefer,92.74,2502.0
578,377036000,Reefer,84.51,2688.0
579,636011696,Reefer,142.0,7777.0
580,375748000,Reefer,155.0,11392.0
581,377213000,Reefer,155.0,11392.0
582,374045000,Reefer,80.26,1596.0
583,514957000,Reefer,81.0,1596.0
584,312534000,Reefer,76.67,2617.0
585,620149000,Reefer,108.76,3960.0
586,667003426,Reefer,65.23,991.0
587,367445470,Reefer,53.25,1134.0
588,366577000,Reefer,90.07,4428.0
589,367395640,Reefer,71.02,2051.0
590,367545050,Reefer,50.0,749.0
591,366299000,Reefer,88.4,5716.0
592,367438060,Reefer,29.0,165.0
593,366899490,Reefer,54.96,1495.0
594,367098190,Reefer,24.0,214.0
595,367019340,Reefer,26.15,179.0
596,367392530,Reefer,33.0,195.0
