mmsi,shipname,callsign,length,width,power_hp,tonnage,power
257082840,EVA,LK7155,10.5,2.95,320.0,12.0,240.0
257082940,DAG VIGGO,LK7130,12.98,4.3,355.0,14.0,266.25
257083040,BALLSTADGUTT JR,LK7118,10.66,3.59,154.0,15.0,115.5
257083240,CINITA,LG2609,8.9,3.05,251.0,,188.25
257084040,SJOHAV,LLGI,21.3,7.2,720.0,162.0,540.0
257084140,BARSTEIN,LK7148,14.94,5.49,410.0,25.0,307.5
257084240,OEYFJORD,LM2813,10.4,3.3,80.0,11.0,60.0
257084340,HAVELLA,LK7085,10.51,3.62,155.0,12.0,116.25
257084540,SIGLEVIK,LK7152,11.35,3.45,182.0,14.0,136.5
257084820,VICTHOR,LK4868,10.65,3.96,160.0,18.0,120.0
257084900,KLAR-SELIN,LM5807,10.58,3.42,110.0,8.0,82.5
257084940,SIVA,LF3704,8.62,2.85,80.0,6.0,60.0
257085340,AUKNES,LK7260,8.96,3.28,202.0,,151.5
257085540,STRAUMVAERING,LK7145,14.92,5.45,411.0,,308.25
257085840,SAFIR,LK7199,14.95,5.46,400.0,24.0,300.0
257085900,HEMMINGODDEN JR,LK 5953,,,,,
257086140,TON]E,LM6262,10.64,3.41,112.0,10.0,84.0
257086540,AAROE,LK6725,10.65,4.3,250.0,12.0,187.5
257086840,SEGLVIK,LK7217,10.54,3.39,154.0,12.0,115.5
257086940,STORBOEN,LK6385,10.2,3.46,100.0,12.0,75.0
257087040,TONNY MARIE,LK7149,14.96,5.8,461.0,,345.75
257087840,NARGTIND,LG2280,9.98,3.3,340.0,,255.0
257088140,HAUGHEI,LK 7187,,,,,
257088340,VARANGERGUTT,LM6259,10.36,3.41,230.0,12.0,172.5
257088540,BUROEY,LK5083,10.6,4.1,190.0,12.0,142.5
257089000,KREMMERVIK,3YMI,42.9,12.0,1800.0,,1350.0
257089040,SJOELEIK,LM2987,9.97,2.98,70.0,10.0,52.5
257089640,ROSTAD,LK7188,14.85,5.28,354.0,,265.5
257089740,BRATTHOLM,LK7238,12.78,4.52,360.0,24.0,270.0
257090340,NYMORE,LK7267,11.4,3.63,175.0,,131.25
257091140,ELSE-K,LK7325,12.9,4.5,473.0,,354.75
257091840,METHO,LK7274,14.99,5.82,410.0,,307.5
257092540,A. JENSEN,LK7381,14.99,5.8,403.0,,302.25
257092640,ELDORADO,LK7369,12.06,3.46,175.0,,131.25
257093440,VALAJENTA,LM7000,12.83,3.96,175.0,17.0,131.25
257093740,ELVIRA,LK7461,10.66,4.64,250.0,,187.5
257093900,IMAGINE F-6-LB,LG3209,8.05,2.7,200.0,4.0,150.0
257093940,AERFUGLEN,LK7509,8.43,2.8,78.0,,58.5
257094940,VAAGAVIK,LK7227,12.9,4.02,250.0,21.0,187.5
257095340,JIM HAAVARD,LM5752,10.11,3.38,106.0,9.0,79.5
257095540,KIM ROGER 1,LK7332,14.88,5.35,400.0,,300.0
257095640,HAVMANN,LK7417,14.16,3.93,291.0,,218.25
257095900,KEILA,LK5378,10.65,2.96,159.0,12.0,119.25
257096140,FLIPPER,LK 7442,,,,,
257096440,TOMMI-MARI,LK7451,12.0,4.16,243.0,,182.25
257096540,BJOERNSTEIN,LF3790,10.25,3.3,230.0,11.0,172.5
257096700,MICHELLE,LM8126,10.58,3.06,155.0,12.0,116.25
257096800,SOLEAY,LG6015,10.65,3.8,300.0,,225.0
257097440,JOHN SENIOR,LK7465,12.2,3.65,175.0,,131.25
257097820,VIKEN II,LF3192,9.45,3.05,110.0,8.0,82.5
257097840,KARL WOLMAR,LK7330,10.66,3.65,154.0,,115.5
257098140,FREIDIG,LM7915,9.65,3.45,154.0,12.0,115.5
257098320,KARL VIKTOR,LGCA,19.48,5.27,650.0,59.0,487.5
257098540,LINDISFARNE,LK 7521,,,,,
257098620,NORFOLK,LGMG,,,,,
257098740,SVAAHOLM,LK4498,13.98,5.05,400.0,23.0,300.0
257099140,NESHEIM,LK7489,12.88,4.52,250.0,,187.5
257099240,MARJELLA,LK7430,10.65,3.6,145.0,,108.75
257099340,MEHOLM,LK4657,10.66,3.8,250.0,25.0,187.5
257099900,SCALLOP,LF5244,,,,,
257100320,JAN BORRE,LHCV,,,,,
257100440,ANN SOFIE,LG3690,10.98,3.74,580.0,,435.0
257100540,ARSBUEN,LG3540,,,,,
257100600,HAUGEFISK,LG6163,10.63,3.49,380.0,,285.0
257100640,FLATVAER,LG3625,10.39,3.2,500.0,10.0,375.0
257100740,HUSOEY,LG3685,12.97,5.02,390.0,24.0,292.5
257100840,SOLAGUTT,LG3782,9.1,3.9,160.0,,120.0
257100940,GUNNAR EGIL,LG3346,9.99,3.36,369.0,,276.75
257101030,BJOERNSVIK,LJON,19.38,5.46,367.0,84.0,275.25
257101120,NYTIND,LHNN,18.29,5.12,335.0,34.0,251.25
257101440,MIDSUND,LM4907,14.16,4.37,316.0,23.0,237.0
257101640,NYBOEN,LK2660,12.2,4.18,190.0,18.0,142.5
257101740,STROMOYGUTT,LM9153,15.7,4.7,400.0,24.0,300.0
257101900,SILVA,LG6097,9.99,3.42,340.0,,255.0
257101940,NINA MARI,LK2034,14.98,5.4,380.0,24.0,285.0
257102340,MARITHA,LM2191,9.02,3.23,59.0,7.0,44.25
257102440,VESTHAV,LM8525,10.35,3.3,135.0,12.0,101.25
257102540,JOHAN P,LM7498,14.12,4.65,230.0,24.0,172.5
257102640,VIGRUNN,LK3242,14.02,4.2,250.0,23.0,187.5
257102840,SJOHESTEN,LCZY,,,,,
257102940,HARENGUS,LM8834,12.98,3.96,246.0,17.0,184.5
257103140,OYSKJAER,LK3482,14.98,4.91,525.0,23.0,393.75
