mmsi,shipname,callsign,length,width,power_hp,tonnage,power
257179640,AKONO,LK-8359,,,,,
257179740,BRENNAJENTA,LK8240,9.12,3.15,80.0,,60.0
257179820,VESLA,LMEQ,12.28,4.48,350.0,20.0,262.5
257179940,NORDHAVN,LF5007,10.3,3.7,340.0,,255.0
257180000,BOEMMELBAS,LLGZ,61.54,11.6,3750.0,,2812.5
257180440,ROKSUND,LK8435,10.65,4.1,154.0,,115.5
257180500,LUDVIK,LG6747,10.97,5.01,265.0,,198.75
257180700,GERD JORID,LG2175,10.3,3.28,340.0,,255.0
257180740,YVONN,LM6213,10.66,3.54,300.0,9.0,225.0
257180800,FROYA,LG6517,10.94,3.96,610.0,,457.5
257181020,SOLBAS,LMUG,,,,,
257181140,SIMEN F16B,LK 8442,,,,,
257182340,FAEROEYFISK,LM5953,14.37,3.87,210.0,24.0,157.5
257182440,TOR VIGGO,LK 8527,,,,,
257182620,RONNY N,LM2021,12.1,3.8,286.0,10.0,214.5
257182640,OYTIND,LK8502,10.15,3.95,185.0,,138.75
257182840,BISPEN F-30-G,LK8594,11.41,3.65,154.0,,115.5
257182920,MALMEN,LM2028,7.65,2.5,65.0,3.0,48.75
257183040,REINESBUEN,LM4069,9.45,3.14,129.0,9.0,96.75
257183140,TRYGVASON,LK2859,10.52,3.55,154.0,12.0,115.5
257183500,VASOYFISK,LG6781,10.98,3.78,650.0,,487.5
257183920,GAUTIND,LM2049,9.89,3.7,120.0,,90.0
257183940,HAGTIND,LK8607,10.64,3.64,175.0,,131.25
257184220,DRIVAR,LM2053,10.24,3.3,102.0,9.0,76.5
257184340,M/S GRIMSHOLM,LK 8711,,,,,
257184940,PLUTOS,LF5037,8.1,3.05,100.0,,75.0
257185020,ISAK OLAI,LM2069,10.62,4.2,250.0,14.0,187.5
257185240,ELINE,LF5038,,,,,
257185420,SJOLIV,LM2085,14.95,5.1,368.0,21.0,276.0
257185440,DELFIN,LK8750,10.2,3.82,270.0,8.0,202.5
257185540,BRUSOEYSKJAER,LK8333,10.66,3.65,175.0,,131.25
257185640,GAASHOLM,LF5040,,,,,
257185940,SOLSKJAER,LK3787,10.55,3.66,235.0,12.0,176.25
257186040,HAVSTEIN,LK8749,12.2,4.1,550.0,,412.5
257186140,VAAGOEYBUEN,LK8734,10.66,4.52,291.0,,218.25
257186340,GAIA,LK8149,,,,,
257186440,NORDFISK,LM 7757,,,,,
257186520,SKARSTEIN,LM2120,10.11,3.2,135.0,8.0,101.25
257187246,GUNN-LOTTE,LM2699,10.65,3.02,152.0,10.0,114.0
257187500,VIKSTJERNA,LM8587,10.24,3.22,68.0,8.0,51.0
257187740,BAARDFJORD,LG3401,10.2,3.9,330.0,,247.5
257187840,LYKKEN,LM9608,8.95,3.44,30.0,,22.5
257188020,TERNA,LM2173,7.65,2.5,40.0,3.0,30.0
257188500,ANDOYGUTT,LM2751,10.39,3.56,115.0,11.0,86.25
257188540,RUBIN,LK 8820,,,,,
257189020,SANNAGUTT,LM2211,10.58,4.1,152.0,12.0,114.0
257189040,KAMILLA KATRINE,LK 8837,,,,,
257189240,BREMVAERING,LM2663,10.55,3.46,127.0,12.0,95.25
257189600,JOHAN HAAKON,LG 3720,,,,,
257190040,CHRISTINA,LK7948,10.65,3.64,250.0,,187.5
257190140,SANDOEYJENTA,LK8869,10.66,3.98,154.0,,115.5
257190440,ERVIK,LK5589,,,,,
257190540,OYMON,LK8782,10.63,3.98,500.0,,375.0
257190720,SANGOLT,LM2271,10.59,4.17,127.0,15.0,95.25
257191020,LINNEA,LM2284,14.86,4.75,400.0,25.0,300.0
257191240,LARS AINA,LF5075,,,,,
257191440,SVANESUND,LK8665,10.66,4.5,250.0,,187.5
257192240,SKARTIND,LK8903,10.66,4.52,230.0,,172.5
257192540,HEPSOEFJORD,LK9090,10.66,4.5,255.0,,191.25
257193220,RAILO,LM2359,,,,,
257193340,DELFIN,LK6149,10.65,4.17,152.0,13.0,114.0
257193500,EIRIK,LK6576,,,,,
257193940,HEILO,LK9070,9.22,3.18,127.0,,95.25
257194420,KVALVIK JUNIOR,LM 2389,,,,,
257194440,JANICKE,LK9012,10.36,3.36,340.0,,255.0
257195140,TOR JONNY,LK 9125,,,,,
257195420,VIKAJENTA,LM2414,10.0,2.96,72.0,9.0,54.0
257195620,LISOYSUND,LM2425,10.57,4.05,145.0,14.0,108.75
257195840,SORVEST,LK8838,10.63,4.1,270.0,,202.5
257196240,LILLE BREIVIKBUEN,LK 9192,,,,,
257196340,POLARLINER F-1-LB,LK9231,10.54,3.34,154.0,,115.5
257196500,LOMVI,LF5323,,,,,
257196540,RYVARDEN,LK9127,12.23,3.95,250.0,,187.5
257196640,DANIANA,LF5106,10.65,5.0,250.0,20.0,187.5
257196940,SIWA,LK9126,12.23,3.96,600.0,18.0,450.0
257197000,ERLY,LAVH,26.0,7.0,775.0,173.0,581.25
257197020,HAVBRIS,LM2456,9.25,3.2,72.0,8.0,54.0
257197320,STRAUMEN,LM2459,9.23,3.12,82.0,,61.5
257197340,STILIAN,LK9181,9.78,3.64,85.0,9.0,63.75
257198000,JOHAN BERG,LLWT,37.57,9.0,1016.0,148.0,762.0
257198040,SIRIUS II,LK8532,10.38,3.4,310.0,,232.5
257198220,TORILL,LM2474,10.42,3.9,185.0,11.0,138.75
257198340,TRAENAGUTT,LK9262,10.6,3.78,152.0,,114.0
257198440,TORSHAV,LF5115,,,,,
257198540,FUGLOYFISK,LK9268,12.99,4.5,390.0,,292.5
257198920,VICKI,LM2485,,,,,
257199240,HAVBOEN,HAVBOEN,,,,,
257199600,SOLVAER,LM8695,9.6,3.2,82.0,8.0,61.5
257199640,OSUND,LM6980,10.62,3.89,156.0,,117.0
257199800,KARINE N-99-SO,LM9613,10.66,3.2,660.0,8.0,495.0
257200220,KRISTINA,LM2509,12.89,3.88,182.0,40.0,136.5
257200620,VESTFLU,LM2520,10.66,4.05,260.0,12.0,195.0
257200640,NEMO,LK9455,12.23,3.94,575.0,12.0,431.25
257200840,FANT,LG4920,9.69,3.1,222.0,,166.5
257201020,FISKESKJAER,LM2530,12.08,3.5,131.0,12.0,98.25
257201040,ERIKSEN SENIOR,LK9329,10.2,4.1,250.0,,187.5
257201140,ERLINGSON,3YMO,,,,,
257201540,ERLEND,LK7119,10.66,3.65,154.0,12.0,115.5
257201640,BENONI,LM2687,10.64,3.85,158.0,8.0,118.5
257201720,ASTRID MARIE,LM2539,10.66,3.98,124.0,12.0,93.0
257201900,SKJERODDEN,LG6679,10.98,4.1,700.0,,525.0
257201940,GLIMT,LK9510,10.65,4.54,230.0,,172.5
257202120,ORION,LM2549,9.76,3.46,80.0,9.0,60.0
257202140,FRYDHOLMEN,LK9321,12.99,4.5,390.0,,292.5
257202320,NY-ODD,LM2558,10.29,3.29,150.0,11.0,112.5
257202340,BALDER,LF4058,,,,,
257202940,AESOYBUEN,LK5937,10.65,3.9,218.0,12.0,163.5
257203000,GARDAR,LKWZ,71.1,13.0,11000.0,,8250.0
257203020,HELLEFISK,LM2572,10.59,3.46,112.0,12.0,84.0
257203640,MONSEGUTT,LK7249,10.53,3.38,154.0,11.0,115.5
257203900,AMANDA,LG6637,,,,,
257203940,FLIPPER,LG2236,9.69,3.1,222.0,9.0,166.5
257204140,KJELL ARNE,LM4019,8.99,2.99,68.0,5.0,51.0
257204240,SANDFJORD-JENTA,LK9594,12.23,3.96,600.0,,450.0
257204640,MONICA,LK9699,9.46,3.34,350.0,9.0,262.5
257204740,FLIPPER,LK5659,9.6,3.1,200.0,9.0,150.0
257204840,DONNING,LK2851,10.53,3.88,248.0,17.0,186.0
257204940,MIDNATSOL,LK9768,14.33,6.4,380.0,58.0,285.0
257205040,TINGANES,LF4078,10.66,3.7,171.0,12.0,128.25
257205220,KENT RUNE,LM2629,9.25,3.2,75.0,9.0,56.25
257205540,SKAGANES,LM6372,9.45,3.06,85.0,8.0,63.75
257205640,REMI F-40-LB,LK8208,8.23,3.06,220.0,,165.0
257205940,FLID,LF4082,10.63,3.1,80.0,,60.0
257206040,JUVEL,LF4084,,,,,
257206540,TUVA,LF9686,,,,,
257206620,MAYA,LM2657,9.35,2.92,136.0,5.0,102.0
257207420,JOHAN F,LM2677,11.65,3.8,154.0,15.0,115.5
257207740,HENRIKSEN JR,LK9706,12.23,3.94,600.0,14.0,450.0
257207920,EVA MARITA,LM2686,12.98,3.9,220.0,21.0,165.0
257208120,TEIS,LM2689,10.59,4.21,250.0,12.0,187.5
257208140,ANDFJELL II,LF4095,,,,,
257208840,ARCTIC OCEAN,LK977,,,,,
257209040,THINA-IRENE,LK2662,10.54,3.67,116.0,12.0,87.0
257209340,UNNI,LM3413,10.55,4.15,95.0,9.0,71.25
257209440,KIRKOEYBUEN,LM8427,10.61,3.39,152.0,12.0,114.0
257209500,RINGHORNE,LG6890,,,,,
257209940,KLOVNESJENTA,LK9824,12.19,3.9,250.0,,187.5
257210240,NORHAV,LK9919,12.99,4.74,291.0,,218.25
257210340,JUNE,LK9799,10.55,3.46,154.0,,115.5
257210600,VIVI,LK9120,8.72,3.02,240.0,,180.0
257210620,CAMILLA,LM2753,10.64,3.0,104.0,10.0,78.0
257210740,KURTI,LF411Z,,,,,
257211320,PROSENTEN,LM2781,,,,,
257211340,FISKENES,LK9913,10.99,3.74,715.0,,536.25
257211840,HAVBLIKK,LK9983,12.2,4.06,590.0,,442.5
257212240,GAMMEL SJARKE,LM8190,10.32,3.5,125.0,9.0,93.75
257212340,SJOSVANEN,LK9894,10.66,4.09,350.0,,262.5
257212420,FAGERHEIM,LM2814,10.6,3.8,145.0,12.0,108.75
257212500,JENSEGUTT,LK9119,8.6,2.84,230.0,,172.5
257212520,NIKITA F-34-LB,LM2816,,,,,
257212720,MERCUR,LM2828,12.32,3.83,250.0,19.0,187.5
257213620,OYVERING,LM2855,10.38,3.26,108.0,11.0,81.0
257213740,STENSOEY,LM6518,10.36,3.22,150.0,9.0,112.5
257213840,ORIGO  F-47-BD,LK9982,10.65,3.57,450.0,,337.5
257213920,LANGHOLM,LM2862,12.1,4.43,238.0,18.0,178.5
257214000,JOKUL,LALD,37.95,9.0,1414.0,,1060.5
257214140,VALDEROY,LG2126,10.38,3.4,369.0,,276.75
257214320,HAVTERNA,LM2870,10.6,4.15,155.0,13.0,116.25
257214420,SOLVIK,LM2871,,,,,
257214520,HAVSULA,LM2873,10.98,3.1,105.0,12.0,78.75
257214540,THEO MIKAL,LK9814,12.05,3.98,500.0,,375.0
257214640,ELJAN,LK9994,10.3,3.42,340.0,,255.0
257214820,GULLFJELL,LM2880,10.56,3.86,131.0,12.0,98.25
257215000,KYSTFISK JR,LDYW,21.15,6.5,630.0,127.0,472.5
257215140,EKENBORG,LK 9911,,,,,
257215220,J.R.MARITA,LM2886,10.01,3.02,127.0,9.0,95.25
257215240,RAMBO I,LG 2082,,,,,
257215420,SOLGLOTT,LM2890,10.02,2.91,100.0,10.0,75.0
257215640,TRYGG,LK9882,14.95,5.82,530.0,24.0,397.5
257215740,FROYVARING ST55F,LK9823,10.66,3.88,250.0,,187.5
257215920,SANDNESBUEN,LM2903,10.38,3.67,110.0,8.0,82.5
257216020,ODIN,LM2904,14.98,5.03,310.0,24.0,232.5
257216120,PIRAYA,LM8993,10.52,4.2,160.0,,120.0
257216220,BRENNING. 90412625,LM2907,9.75,3.13,72.0,9.0,54.0
257216240,CHRISTINA,LG2105,,,,,
257216440,TITRAN,LG2089,,,,,
257216500,KROSSFJORDFISK,LF5338,,,,,
257216520,KYSTVAERING,LM2927,10.55,3.46,109.0,12.0,81.75
257216620,WAAGOEY,LM2928,,,,,
257216640,JOHN REIDAR,LF4143,7.5,2.65,66.0,,49.5
257216940,SJOSTJERNA,LK5692,10.43,3.7,185.0,12.0,138.75
257217140,BERGSVAAG,LG2299,12.22,3.89,250.0,,187.5
257217240,KRISTIAN MICHEL,LK 9909,,,,,
257217920,BIFANGST,LM2950,9.53,3.4,127.0,8.0,95.25
257217940,FJORDGLANS,LG 2246,,,,,
257218040,EINVIKBUEN,LG2399,10.99,4.52,262.0,12.0,196.5
257218120,SIV,LM2954,9.11,3.22,72.0,8.0,54.0
257218440,ELLINORA,LF4163,,,,,
257218640,FANDANGO,LG2355,10.3,3.28,340.0,5.0,255.0
257218740,OEYGUTT,LG2049,10.3,3.9,300.0,8.0,225.0
257219000,NORTHEASTERN,LMZR,57.65,8.5,1650.0,,1237.5
257219020,TELLUS,LM2965,14.21,4.71,250.0,23.0,187.5
257219040,FORDE,LK6642,10.53,3.34,152.0,11.0,114.0
257219120,LANES,LM2968,10.01,2.98,125.0,10.0,93.75
257219140,VALDEROY,LK9402,10.4,3.92,330.0,,247.5
257219340,MIR  LG2472,LG2472,10.64,5.02,330.0,,247.5
257219840,DELFIN,LG2531,9.25,3.1,210.0,,157.5
257220040,ANNE-KRISTIN,LF4171,,,,,
257220140,HAVBUEN,LM2914,9.27,3.15,84.0,8.0,63.0
257220220,MATS BOERGE,LM2993,12.14,4.25,218.0,18.0,163.5
257220320,NEMO,LM2994,10.65,3.77,244.0,12.0,183.0
257220340,KAAPA,LK 2643,,,,,
257220440,SJOBLOMST,LK9813,10.65,4.17,243.0,,182.25
257220620,JENNY,LM 2998,,,,,
257220740,SELFJORD,LG2574,,,,,
257220820,SENHOLMBUEN,LM 3001,,,,,
257220940,ROEDOEY,LM6679,9.98,3.23,270.0,10.0,202.5
257221120,VAARHEIM,LM 3032,,,,,
257221500,KURT ENDRE,LK3516,14.98,5.4,311.0,24.0,233.25
257221640,NORVEIG,LG2615,14.35,5.38,291.0,,218.25
257221740,VARLINER,LG2811,10.99,3.74,650.0,,487.5
257222040,TANTEYEN,LG 2786,,,,,
257222222,RJNF1,,,,,,
257222620,STROEMVAERING,LM3098,14.63,4.82,260.0,24.0,195.0
257223120,KLIPTON,LM3127,13.44,4.52,195.0,17.0,146.25
257223620,SOLTIND,LM3154,14.51,4.67,350.0,23.0,262.5
257224020,DANIEL-ANDRE,LM3165,15.48,4.82,320.0,22.0,240.0
257224500,JORN Y,LK2509,8.0,2.7,76.0,,57.0
257225000,SEIR,LLFV,39.94,10.58,1305.0,,978.75
257226320,FLAAGRUNN,LM3312,,,,,
257226520,MAGNA,LM3325,12.65,4.11,245.0,14.0,183.75
257229000,ROSENBORG,LAGH,39.7,9.0,917.0,173.0,687.75
257230320,HELENE,LM3465,8.63,2.71,60.0,4.0,45.0
257230520,LUSKIN,LM3471,10.21,3.6,130.0,9.0,97.5
257233520,NYBAAEN,LM3553,14.75,4.41,192.0,24.0,144.0
257233920,ULVEN,LM3571,,,,,
257234000,FONNES,LMWF,57.5,12.8,3700.0,,2775.0
257235600,VIKAHAV,LF5351,,,,,
257235720,SOLNESBUEN,LM3632,,,,,
257236600,TRYGG,LF5353,10.65,4.0,100.0,,75.0
257237420,TOROLV,LM3699,15.7,4.89,291.0,24.0,218.25
257237800,BOLGA,LG6996,12.98,4.62,400.0,47.0,300.0
257238320,SANDVIKNES,LM3737,14.99,4.59,238.0,24.0,178.5
257239500,CARISA,LF5355,10.64,5.18,261.0,,195.75
257241920,ODD EGIL,LM3872,12.47,3.96,155.0,14.0,116.25
257245020,SKOGNES,LM3994,14.4,4.42,330.0,16.0,247.5
257245220,SARA KARIN,LM4000,15.66,4.72,380.0,34.0,285.0
257245620,NYFISK,LM4005,,,,,
257246420,NOVOS,LM4026,15.54,4.69,300.0,24.0,225.0
257246800,FUJI,LF5360,,,,,
257246820,KIMMEN,LM4044,10.14,3.06,120.0,9.0,90.0
257247000,DOGGI,LLIA,39.79,10.5,2500.0,,1875.0
257247020,FANGST,LM4050,9.45,3.05,115.0,9.0,86.25
257247500,OSKAR S,LK9011,10.36,3.36,340.0,,255.0
257248000,NORDOERN,LLIG,39.99,10.5,2500.0,,1875.0
257248020,HAVBRUA,LM4076,,,,,
257248800,HAAR-BAAEN,LF6253,10.66,3.58,300.0,,225.0
257249020,JUNI,LM4106,8.69,2.77,76.0,5.0,57.0
257250000,RODHOLMEN,LCMN,75.0,12.0,7242.0,,5431.5
257250320,BERLEVAAGJENTA,LM4180,14.78,4.54,320.0,24.0,240.0
257251600,BUGOEY,LG7165,10.65,3.84,500.0,8.0,375.0
257251700,MINA MARIE,LG 6931,,,,,
257251900,RANDI HELENE,LF5362,,,,,
257252220,VIKING,LM4236,11.96,3.9,186.0,14.0,139.5
257252700,FOMA,LM5322,10.53,3.89,210.0,,157.5
257252820,GULASKJAER,LM 4261,,,,,
257253220,TYRANN,LM4281,,,,,
257253620,RONVIKBUEN,LM4307,14.11,4.42,210.0,18.0,157.5
257254000,TRASAVIK,LNTU,26.5,7.52,850.0,250.0,637.5
257254920,NYGRUNN,LM4347,15.61,4.6,270.0,24.0,202.5
257256020,HAVELLA,LM4368,8.57,2.68,82.0,6.0,61.5
257256120,TOMA,LM4369,,,,,
257256420,LUND SENIOR,LM 4380,,,,,
257258000,REINEFANGST,LMEC,22.55,6.7,830.0,157.0,622.5
257258420,NY HURTIG,LM4449,9.45,3.2,68.0,8.0,51.0
257259320,REINBOEN,LM4465,15.61,4.6,275.0,24.0,206.25
257260020,HAVUNG,LM4478,,,,,
257260120,SALTVAERING,LM4481,15.48,4.97,300.0,25.0,225.0
257260720,HAVDUR,LM4498,9.4,3.1,100.0,8.0,75.0
257260800,LINN S,LG7186,10.3,3.4,340.0,,255.0
257261320,LINN,LM4517,8.6,2.65,90.0,8.0,67.5
257261720,OLAV BORRE,LM4529,10.08,3.08,127.0,8.0,95.25
257262800,STIG ROAR F-114-LB,LG6881,9.86,3.6,130.0,,97.5
257263000,MIDOY VIKING,LCFQ,,,,,
257263320,ODD INGE,LM 4570,,,,,
257263420,LYKKEN,LM4573,10.1,3.14,230.0,7.0,172.5
257263500,LARSTEIN II,LG6515,8.63,3.17,407.0,,305.25
257263800,ROBINE,LF5371,,,,,
257265000,JOHAN RUUD,LEDR,,,,,
257265320,ORBIT,LJBR,14.98,5.02,328.0,24.0,246.0
257266920,MINIBANKEN,,,,,,
257267700,GUIDE,LK3610,,,,,
257269420,ROWENTA 2,LM4884,16.0,4.8,246.0,24.0,184.5
257270120,NYLON,LM4899,9.6,3.11,68.0,6.0,51.0
257271220,OMEGA,LM4922,10.22,3.15,96.0,8.0,72.0
257271320,ALBEN,LM4923,10.26,3.23,127.0,8.0,95.25
257271520,FLEINBUEN,LM4926,10.28,2.99,95.0,8.0,71.25
257271600,HAVBRYN,LDBT,69.9,15.4,6100.0,,4575.0
257271620,NOREGGA,LM4927,10.04,2.99,127.0,8.0,95.25
257271920,MK-VESLA,LM4935,10.58,3.35,127.0,10.0,95.25
257272220,FREMTID,LM 4940,,,,,
257272520,SPUTNIK,LM 4947,,,,,
257272900,HELLEM JR.,LG 7302,,,,,
257273900,MOWI STAR,LHOI,,,,,
257274920,NEPTUN,LM5024,10.96,3.66,110.0,10.0,82.5
257276500,MARKUS,LK8447,8.68,2.78,200.0,7.0,150.0
257277420,TORE F34-BD,LM 5091,,,,,
257277520,SJOETIND,LM5098,10.5,3.6,230.0,12.0,172.5
257279020,NY-PERLON,LM5140,11.34,3.99,182.0,13.0,136.5
257281000,STAALBAS,LNXH,58.75,9.4,2200.0,,1650.0
257281500,GUNBJORG,LF2893,9.75,3.2,135.0,9.0,101.25
257281700,SPJAERLYS,LG7314,12.65,4.5,310.0,21.0,232.5
257282120,UNN,LM5223,9.97,2.99,120.0,8.0,90.0
257282700,VAAGAN AA-5-G,LG6774,14.99,6.0,650.0,,487.5
257282720,BRUNVOLL,LM5233,10.5,3.58,110.0,12.0,82.5
257283520,LINSKJAER,LM5248,,,,,
257284000,VEA,LMMJ,60.4,12.4,3900.0,,2925.0
257284600,SULAVAAG 1,LG7164,12.19,3.99,270.0,,202.5
257284900,BOLGEN,LK2094,10.6,3.9,110.0,14.0,82.5
257285220,NY-TERJE,LM5296,10.98,3.73,200.0,12.0,150.0
257285420,VAAGSTRAND,LM5302,10.09,3.1,190.0,8.0,142.5
257285520,ODDBJORN,LM5303,15.45,4.66,291.0,22.0,218.25
257286600,VARANGERJENTA,LK2149,9.87,3.35,120.0,9.0,90.0
257287220,TOR-KAARE,LM5331,8.63,2.71,68.0,6.0,51.0
257287700,SJOGUTTEN,LK2281,8.44,2.69,65.0,5.0,48.75
257288820,GEIR RUNE,LM5370,9.5,3.2,100.0,7.0,75.0
257289320,TAREBAS,LM5377,,,,,
257289720,VENGSOYVAERING,LM5385,15.36,4.69,238.0,24.0,178.5
257290420,FALKEN,LM 5408,,,,,
257290620,LUNA,LM5412,8.63,2.71,74.0,5.0,55.5
257291320,BEATE,LM5439,10.61,3.87,203.0,14.0,152.25
257291420,CELINA,LM5440,10.25,3.23,115.0,7.0,86.25
257292020,AURORA,LM5450,9.45,3.05,90.0,7.0,67.5
257292500,NORDLYS,LM8772,9.8,3.48,82.0,9.0,61.5
257292620,OLE HENDRIK,LM5463,15.25,4.69,345.0,24.0,258.75
257294120,KETHO,LM5507,10.3,3.1,120.0,8.0,90.0
257294720,BUSKALG,LM5533,,,,,
257296500,LEIKA,LK2410,8.6,2.69,76.0,6.0,57.0
257296820,FJORDFISK,LM5575,10.61,3.96,150.0,16.0,112.5
257298320,VILJAR,LM5614,,,,,
257298420,PROVEN,LM5617,9.52,3.52,116.0,7.0,87.0
257298620,THOMAS,LM5628,9.72,3.41,112.0,11.0,84.0
257298820,LYNGOEYBUEN,LM 5631,,,,,
257298920,LOVENG,LM5632,10.6,3.05,80.0,7.0,60.0
257299720,TROND YNGVE,LM5655,10.61,3.87,117.0,14.0,87.75
257299920,SOLSTEIN,LM5659,10.97,3.7,130.0,,97.5
257300320,SKIPPY,LM5671,9.45,3.05,100.0,6.0,75.0
257300700,ANETTA,LM 9991,,,,,
257300740,VERONICA,LG 3897,,,,,
257300940,RAGNHILD EMILIE,LG 2650,,,,,
257301040,STIG HARRY,LG3839,12.98,5.0,400.0,,300.0
257301120,ARIEL N-38-SO,LM5689,10.6,3.41,168.0,12.0,126.0
257301540,NYHAV,LG2416,9.05,3.3,340.0,,255.0
257301620,NORHAVET,LM5696,10.52,3.57,120.0,12.0,90.0
257301640,LEISUND,LG 3944,,,,,
257301840,SJONAPP N-39-F,LG3732,10.99,4.72,260.0,,195.0
257301940,GUNN ANITA,LG3804,14.63,6.86,515.0,,386.25
257302040,VOGIN,LG3439,10.48,2.8,147.0,,110.25
257302140,SJARMOER,LCGM,36.34,10.0,1304.0,,978.0
257302240,SOLOYBAS,LG2259,11.43,3.64,430.0,,322.5
257302620,TARVIKBOEN,LM5712,10.99,3.78,218.0,10.0,163.5
257302720,GLUECIFER,LM5713,10.13,4.11,122.0,13.0,91.5
257302740,RIDDU,LG3687,9.99,3.36,360.0,,270.0
257302940,VAAGAR,LG3912,9.69,3.1,222.0,,166.5
257303000,SPJAERINGEN SENIOR,LLGB,22.05,7.5,650.0,185.0,487.5
257303040,YTTEROEY,LG4020,10.65,3.97,235.0,,176.25
257303140,HEIMEN 2,LF4255,8.81,3.2,70.0,6.0,52.5
257303240,RAMSOYFJORD,LK5687,10.14,3.1,202.0,9.0,151.5
257303320,LILJA,LM5722,10.62,3.89,200.0,14.0,150.0
257303420,JON VIKTOR,LM5723,10.61,3.87,190.0,14.0,142.5
257303620,ORION,LM5727,10.35,3.12,115.0,7.0,86.25
257303720,ELIAS,LM 5739,,,,,
257303740,MATHILDE,LG4000,10.42,3.28,369.0,,276.75
257303920,LENE-MARI,LM5743,10.62,3.89,185.0,14.0,138.75
257304140,BJORNSSON,LG3998,10.66,3.74,610.0,,457.5
257304220,BAARHOLMEN,LM5749,10.53,3.51,167.0,16.0,125.25
257304340,MERLIN,LG4039,10.65,3.97,175.0,,131.25
257304540,SORHAV,LG4010,10.66,4.0,425.0,,318.75
257304600,MEA,LM9782,10.36,3.3,200.0,11.0,150.0
257304820,SANDFLAESA,LM5781,10.64,3.87,180.0,14.0,135.0
257304940,SJOGUTT,LG4138,12.96,4.61,829.0,,621.75
257305000,SULEBAS,LECW,38.55,9.5,1000.0,499.0,750.0
257305040,VESTERELVJENTA,LG3987,10.66,3.74,500.0,,375.0
257305140,SYNOY,LM9353,10.5,3.15,155.0,11.0,116.25
257305240,SIRENE,LG3689,10.18,3.42,369.0,,276.75
257305340,NYBAKKEN,LG 4198,,,,,
257305840,SJOSPROYT,LG3986,10.63,3.88,650.0,,487.5
257305940,STRILAJENTO II,LM5034,10.64,3.32,175.0,9.0,131.25
257306040,TORSTEINSON,LF4268,,,,,
257306140,CARIANE,LG4252,10.42,3.46,369.0,,276.75
257306420,BETTY ILONA,LM5824,8.8,2.68,115.0,6.0,86.25
257306440,NYSUND,LF4273,9.69,3.1,222.0,,166.5
257306620,NORMANN,LM5831,10.61,3.87,130.0,14.0,97.5
257307040,NORDMANNSET,LG3965,8.73,2.57,360.0,6.0,270.0
257307120,STORMSUND,LM5846,9.39,3.15,78.0,9.0,58.5
257307240,INGRID ELISABETH,LG4204,10.01,3.36,369.0,,276.75
257307340,GRIMSHOLM,LG4182,12.98,4.22,1015.0,,761.25
257307540,ONSOYGUTT 2,LM 4477,,,,,
257307720,STORMSKJAR,LM5859,12.04,3.58,152.0,12.0,114.0
257307840,HANNE MARTINE F-48-G,LG4211,10.01,3.36,369.0,,276.75
257307940,HAVSULA,LF5153,10.23,3.1,184.0,5.0,138.0
257308040,ELISE KRISTIN,LG4379,12.92,4.6,873.0,,654.75
257308140,HETLEVIKING,LG4260,12.95,5.0,340.0,,255.0
257308500,HAVSKOY I,LM9713,10.62,3.89,152.0,15.0,114.0
257308620,MERETHE II,LM5885,8.63,2.71,68.0,6.0,51.0
257308640,HABRAND,LG3567,12.83,5.66,280.0,43.0,210.0
257308720,STORBOEEN,LM5886,10.6,3.85,210.0,14.0,157.5
257308740,RISOY,LG4516,14.88,5.59,450.0,,337.5
257308840,BARSNES,LG4383,10.65,3.78,429.0,,321.75
257308940,HOELABUEN,LG4528,10.62,4.52,265.0,,198.75
257309220,ANDHELLA,LM5895,15.67,4.68,410.0,23.0,307.5
257309240,RISYFJORD 2,LG3848,,,,,
257309320,KEN STIAN,LM5897,10.61,3.87,150.0,14.0,112.5
257309340,LINNEA,LG4205,,,,,
257309440,MARIANN,LG2990,10.66,4.72,300.0,15.0,225.0
257309640,SANDERGUTT,LK8503,9.68,3.05,222.0,,166.5
257309840,SOLENG SENIOR,LG2029,10.65,4.6,200.0,,150.0
257310340,STREIF,LG4550,,,,,
257310540,TOR MAGNUS,LG4468,10.66,3.97,175.0,,131.25
257310640,AUSTBRIS,LK9305,10.62,4.1,152.0,,114.0
257310740,AMOY,LG4729,10.66,3.42,500.0,,375.0
257310840,CLARA F-7-TN,LG4710,9.69,3.1,222.0,,166.5
257311040,HELLEGUTT,LK2144,9.58,3.46,115.0,8.0,86.25
257311120,ROYAL,LM 5948,,,,,
257311140,HEIDI,LG4389,12.97,4.58,829.0,,621.75
257311240,CINDY,LG4727,10.65,3.81,500.0,12.0,375.0
257311420,LARS ANDREAS,LM5951,14.11,4.66,280.0,22.0,210.0
257311520,BRINCA,LM5952,8.63,2.71,68.0,6.0,51.0
257311640,LILJEN,LK6434,10.66,3.45,160.0,8.0,120.0
257311720,HELLA,LM-5954,,,,,
257311740,LARS EINAR,LK3949,10.6,4.0,152.0,12.0,114.0
257311940,JAN-OSKAR,LG4822,12.96,5.12,291.0,,218.25
257312040,STIG ARILD,LM9967,10.11,3.16,85.0,10.0,63.75
257312140,HEIMDAL II,LF4281,10.34,3.04,125.0,9.0,93.75
257312220,VESTER JUNIOR,LM5970,10.61,3.87,185.0,14.0,138.75
257312340,BUAGUTT,LG4735,13.58,4.18,350.0,21.0,262.5
257312440,RYSTADBUEN,LM8613,10.55,3.4,152.0,10.0,114.0
