mmsi,power,length,tonnage
257158920,200,10.5, 15
257159220,108,9.45, 8
257159320,204,12.2, 19
257159920,245,12.3, 20
257159940,100,9.24, 7
257160120,600,14.47, 24
257160240,340,10.3, 
257160640,154,10.66, 
257160740,303,10.62, 
257161040,430,10.55, 
257161320,170,10.99, 13
257161420,178,10.55, 11
257161940,250,12.2, 
257162640,600,14.95, 54
257162720,160,10.55, 12
257163140,365,10.25, 
257163220,245,13.05, 18
257163340,220,9.69, 
257163940,112,10.6, 
257164320,115,10.01, 10
257164500,450,14.99, 
257164700,265,10.66, 
257164820,175,10.99, 10
257164920,152,10.52, 10
257165320,145,10.6, 10
257165340,460,14.98, 
257165920,120,10.96, 13
257166220,450,14.23, 23
257166400,750,31.31, 108
257166920,175,10.11, 10
257167020,160,10.98, 14
257167540,285,14.63, 24
257168520,80,10.02, 10
257169140,152,10.65, 
257169320,127,10.31, 12
257169820,205,12.96, 20
257171220,330,12.24, 19
257172140,120,9.52, 6
257172440,175,10.65, 
257172500,225,10.32, 
257172640,167,10.64, 12
257172740,210,10.66, 12
257172920,30,7.78, 4
257173620,152,12.05, 18
257173720,190,10.61, 12
257174140,330,10.65, 
257174220,152,10.62, 16
257174440,340,10.3, 
257174540,154,9.82, 
257174720,117,10.65, 10
257175040,175,12.21, 14
257175320,310,14.13, 16
257175420,170,10.58, 12
257175620,152,8.8, 6
257175820,86,9.24, 7
257176620,245,14.23, 23
257176640,360,14.96, 
257177000,1863,46.55, 
257177040,400,11.98, 
257177120,375,17.34, 41
257177340,165,10.65, 
257177500,270,14.63, 23
257178340,384,10.66, 
257178800,410,10.97, 10
257179640,175,12.52, 
257179820,350,12.28, 20
257180440,154,10.65, 
257180700,340,10.3, 
257182440,340,10.38, 
257182640,185,10.15, 
257183140,154,10.52, 12
257183500,650,10.98, 
257183920,120,9.89, 
257183940,175,10.64, 
257184220,102,10.24, 9
257185420,368,14.95, 21
257185440,270,10.2, 8
257186040,550,12.2, 
257186520,135,10.11, 8
257187246,152,10.65, 10
257188540,360,14.04, 24
257189020,152,10.58, 12
257189040,650,10.99, 15
