mmsi,GT
412331151,297.0
412331079,720.0
412440511,1109.0
412675930,260.0
412440439,1318.0
412463406,302.0
412411644,3077.0
412420989,716.0
412420249,482.0
412420102,386.0
412460282,302.0
412439767,498.0
412425002,
412440332,299.0
412460296,295.0
412420338,490.0
413343000,191.0
412420994,681.0
412200219,295.0
412857888,709.0
412420337,490.0
412421011,494.0
412678050,303.0
412420864,428.0
412424703,965.0
412420805,722.0
412200993,287.0
412370007,619.0
412694640,523.0
412420114,430.0
412209156,299.0
412699220,1273.0
412370008,643.0
412992000,497.0
412329658,1655.0
412420582,394.0
412270002,7765.0
412420493,498.0
412420874,460.0
412420011,543.0
412420964,546.0
412440513,1408.0
412326080,238.0
412420431,498.0
412329681,1577.0
412329402,357.0
412420838,297.0
412331089,1449.0
412420811,473.0
412320039,1372.0
412424711,490.0
412420225,472.0
412440516,1109.0
412420801,731.0
412440257,0.0
412698710,264.0
412420388,310.0
412329657,1655.0
413329632,989.0
412110441,299.0
412420314,
412201866,295.0
412330149,
412697530,279.0
412328737,651.0
412209188,496.0
412420378,942.0
412440037,282.0
412440336,299.0
412250005,
412500245,228.0
412439601,1596.0
412421008,494.0
412420905,461.0
412209097,470.0
412331055,1655.0
412420251,477.0
412209102,470.0
412401570,
412401570,971.0
412695630,634.0
412401580,971.0
412331018,819.0
412110221,299.0
412331059,1408.0
412150908,322.0
412460075,296.0
412420237,297.0
412420651,731.0
412420238,297.0
412425001,
412320019,
412700789,287.0
412331012,
412440509,657.0
412440363,1137.0
412420649,732.0
412440562,
412420382,942.0
412420822,752.0
412468637,149.0
412989000,497.0
413322610,190.0
412202673,356.0
412326882,255.0
412440436,1037.0
412671910,277.0
412440376,
412320032,215.0
412440267,0.0
412460054,194.0
412329656,1655.0
412420101,386.0
412677470,609.0
412420254,495.0
412691550,157.0
412331063,276.0
412698090,309.0
412420875,473.0
412420875,271.0
412420624,955.0
412695560,634.0
412421062,
412329437,498.0
412440371,1128.0
412694610,150.0
412421024,1579.0
412209077,619.0
412326873,473.0
412326873,255.0
412329694,1617.0
412209152,299.0
412421018,726.0
412328796,698.0
412695710,634.0
412331027,
412421012,494.0
412200335,861.0
412460002,268.0
412329426,255.0
412420809,731.0
412420837,297.0
412440485,1126.0
412328734,651.0
413322670,199.0
412440269,0.0
412420852,460.0
412685210,
412672030,277.0
412328728,255.0
412331029,
412326560,
412271490,1096.0
412420439,496.0
412420847,460.0
412209076,577.0
412209098,470.0
412697160,590.0
412691540,157.0
412401220,971.0
412420162,320.0
412698930,299.0
412460013,317.0
412439598,1596.0
412326884,955.0
412420957,653.0
412420275,271.0
412420925,470.0
412693340,303.0
413322690,
412331011,
412420788,732.0
412698490,277.0
412420872,586.0
412420501,496.0
412331032,
412440266,0.0
412326905,223.0
412698980,265.0
412440528,
412420956,479.0
412328799,950.0
412699230,281.0
412439605,1280.0
412674930,291.0
412421061,
412331035,989.0
412694950,1588.0
412420229,457.0
412420799,731.0
412328731,1203.0
412320023,199.0
412320027,219.0
412439575,1300.0
412400155,371.0
412420277,660.0
412420924,300.0
412421023,317.0
412420979,611.0
412440535,
412329696,819.0
412420967,611.0
412328785,917.0
412440262,0.0
413693270,399.0
412568557,
412328755,270.0
413340000,191.0
412701350,366.0
412439757,699.0
412331139,1300.0
412440483,1126.0
412326799,271.0
412439768,498.0
412672130,277.0
412328714,
412420983,617.0
412698010,312.0
412354056,479.0
412439766,498.0
412326874,255.0
412440032,577.0
412440433,1037.0
412421003,617.0
412420488,545.0
412420415,296.0
412209153,299.0
412331013,
412460289,302.0
412420422,498.0
412110175,298.0
412440175,511.0
412424491,965.0
412329641,2244.0
412329689,1617.0
412671920,277.0
412329693,1617.0
412420383,949.0
412420536,496.0
412420955,655.0
412694550,150.0
412439756,699.0
412354167,479.0
412421043,551.0
412328736,651.0
412420991,660.0
413322650,199.0
412420013,1597.0
412685220,
412460297,295.0
412420798,702.0
412460284,302.0
412420436,299.0
412687160,98.0
412420312,1305.0
412440263,0.0
412440255,0.0
412300376,1596.0
412420196,499.0
412420196,974.0
412672040,277.0
412671940,277.0
412420816,1496.0
412402273,491.0
412420977,667.0
412420611,950.0
412699040,
412440029,619.0
412420465,496.0
412329435,498.0
412440242,681.0
412110167,285.0
412420171,359.0
412697760,281.0
413200450,4630.0
412331087,1655.0
412440434,1037.0
412354049,949.0
412326130,238.0
412324390,145.0
412328786,1266.0
412326570,
412420423,498.0
412440067,298.0
412698130,
412440432,1037.0
412420928,470.0
412209135,859.0
412421007,710.0
412200253,295.0
412440068,298.0
412460281,302.0
412698020,312.0
412421069,
412694590,150.0
412420976,687.0
412331036,989.0
412420697,496.0
412329632,989.0
412420622,543.0
412695490,698.0
412329515,328.0
412672020,277.0
412699820,491.0
412420877,473.0
412420877,255.0
412440423,960.0
412440248,857.0
412420921,303.0
412500156,225.0
412420197,596.0
412328749,648.0
412420253,475.0
412203365,356.0
412420827,297.0
412329692,1617.0
412420539,727.0
412326881,255.0
412329682,1577.0
413691210,480.0
412320024,199.0
412420531,954.0
412440437,1037.0
412326879,955.0
412331066,819.0
412329683,1577.0
412671950,277.0
412440234,
412324210,399.0
412420804,498.0
412591865,282.0
412331064,276.0
412333035,989.0
412440372,
413322640,199.0
412421033,611.0
412672050,277.0
412440532,
412420975,709.0
412420245,495.0
412329655,1655.0
412675110,325.0
412420914,461.0
412421014,1240.0
412328724,
412422352,484.0
412674960,291.0
412200222,295.0
412354446,479.0
412331033,
412420972,611.0
412672140,277.0
412331173,1531.0
412420454,499.0
412280993,531.0
412330102,
412420427,498.0
412689870,128.0
412420469,496.0
412420961,543.0
412420915,461.0
412320034,238.0
412420585,394.0
412420221,942.0
412993000,497.0
412328751,648.0
412420867,428.0
412420855,479.0
412202239,356.0
412672160,279.0
412329436,498.0
412217991,1091.0
412200986,322.0
412420008,752.0
412421065,
412672220,279.0
412697520,316.0
412687150,98.0
412420609,498.0
412671320,300.0
412672120,277.0
412329445,298.0
412205130,626.0
412329685,1617.0
412420104,430.0
412420839,297.0
413201090,577.0
412420831,297.0
412371191,577.0
412200078,636.0
412110372,298.0
412440258,0.0
412421047,1355.0
412209157,294.0
412371204,1253.0
413236000,7847.0
