mmsi,callsign,tonnage,length,ffa_ENGINE_POWER,ffa_ENGINE_UNIT,power
412420236,BZ8VD,297.0,40.5,698,KW,698.0
412420237,BZ8VE,297.0,40.05,698,KW,698.0
412420238,BZ9VD,297.0,40.5,698,KW,698.0
412420239,BZ7VE,297.0,40.5,698,KW,698.0
412420433,BZ7VG,299.0,40.5,698,KW,698.0
412420434,BZ8VG,299.0,40.5,698,KW,698.0
412420435,BZ9VG,299.0,40.5,698,KW,698.0
412420436,BZ1VH,299.0,40.5,698,KW,698.0
412420582,BZ2VT,394.0,44.8,698,KW,698.0
412420583,BZ3VT,394.0,44.8,698,KW,698.0
412420584,BZ4VT,394.0,44.8,698,KW,698.0
412420585,BZ5VT,394.0,44.8,698,KW,698.0
412420817,BZ9VU,473.0,49.0,928,KW,928.0
412420818,BZ8VU,473.0,49.0,928,kw,928.0
412420819,BZ1VV,473.0,49.0,928,KW,928.0
412420821,BZ2VV,473.0,49.0,928,KW,928.0
412420846,BZ7VV,460.0,47.59,735,KW,735.0
412420848,BZ9VV,460.0,47.59,735,KW,735.0
412420849,BZU5B,460.0,41.0,735,KW,735.0
412420851,BZ5VW,460.0,47.59,735,KW,735.0
412420863,BZU6B,428.0,45.0,698,KW,698.0
412420864,BZU7B,428.0,45.2,698,HP,523.5
412420865,BZU8B,428.0,45.0,698,HP,523.5
412420876,BZ6VY,510.0,52.0,882,HP,661.5
412420892,BZ9VX,496.0,49.8,1029,KW,1029.0
412420905,BZ8VZ,461.0,47.0,810,KW,810.0
412420906,BZ9VZ,461.0,47.0,810,HP,607.5
412420918,BZV4N,1813.0,75.34,2648,KW,2648.0
412420919,BZV5N,1813.0,75.34,2648,KW,2648.0
412439604,BZU8K,1152.0,72.37,2574,KW,2574.0
412439605,BZU6K,1280.0,70.59,3200,PS,2368.0
412439607,BZU7K,1284.0,70.59,3200,PS,2368.0
412440029,BZ6US,619.0,55.6,1176,KW,1176.0
412440031,BZ7US,577.0,55.97,698,KW,698.0
412440032,BZ8US,577.0,54.2,698.3,KW,698.3
412460003,BZXD22,196.0,32.74,600,HP,450.0
412460003,BZXD24,196.0,32.74,440,KW,440.0
412460004,BZXD25,196.0,32.74,440,KW,440.0
412460005,BZXD26,196.0,32.74,600,HP,450.0
412460006,BZXD27,196.0,32.74,600,HP,450.0
412460007,BZXD28,196.0,32.74,600,HP,450.0
412460008,BZXD29,196.0,32.74,600,HP,450.0
412460009,BZXD32,196.0,32.74,600,HP,450.0
412460022,BZWA29,268.0,39.0,450,KW,450.0
412460043,BZXD6,493.0,56.18,956,KW,956.0
412460053,BZXD23,196.0,32.74,600,HP,450.0
412460066,BZXD77,317.0,42.6,720,HP,540.0
412460073,BZXD33,296.0,38.15,596,HP,447.0
412460074,BZXD34,296.0,38.15,596,KW,596.0
412460075,BZXD35,296.0,38.15,596,KW,596.0
412460083,BZWY48,277.0,36.34,540,KW,540.0
412460084,BZWY47,277.0,36.34,540,KW,540.0
412460111,BZXD36,296.0,38.15,596,KW,596.0
412460112,BZXD37,296.0,38.15,596,KW,596.0
412460113,BZXD38,296.0,38.15,596,KW,596.0
412460114,BZXD92,296.0,38.15,596,KW,596.0
412460115,BZXD93,296.0,38.15,596,KW,596.0
412460116,BZXD94,296.0,38.15,596,KW,596.0
412460117,BZXD95,296.0,38.15,596,KW,596.0
412460118,BZXD96,296.0,38.15,596,KW,596.0
412460278,BZXH22,362.0,44.8,540,KW,540.0
412460279,BZXH23,362.0,44.8,540,kw,540.0
412460281,BZXD52,302.0,43.18,890,KW,890.0
412460282,BZXD53,302.0,43.18,890,KW,890.0
412460283,BZXD65,302.0,43.18,850,KW,850.0
412460283,BZXD54,302.0,43.18,890,KW,890.0
412460283,BZXD65,302.0,43.18,850,KW,850.0
412460284,BZXD55,302.0,43.18,890,KW,890.0
412460285,BZXD56,302.0,43.18,850,KW,850.0
412460285,BZXD56,302.0,43.18,850,KW,850.0
412460286,BZXD62,302.0,43.18,850,KW,850.0
412460286,BZXD62,302.0,43.18,850,KW,850.0
412460286,BZXD62,302.0,43.18,850,KW,850.0
412460286,BZXD62,302.0,43.18,850,KW,850.0
412460287,BZXD63,302.0,43.18,850,KW,850.0
412460287,BZXD63,302.0,43.18,850,KW,850.0
412460289,BZXD66,302.0,43.18,850,KW,850.0
412460289,BZXD66,302.0,43.18,850,KW,850.0
412460295,BZWA32,295.0,39.9,500,KW,500.0
412460296,BZWA33,295.0,39.9,500,KW,500.0
412460297,BZWA34,295.0,39.9,500,KW,500.0
412460299,BZXD5,404.0,40.13,735,KW,735.0
412463406,BZXD69,302.0,43.18,828,KW,828.0
412470430,BZWY46,225.0,34.0,447,KW,447.0
412480433,BZXQ52,122.0,26.98,198,KW,198.0
412480434,BZXQ53,122.0,26.94,198,HP,148.5
412500244,BZWZ35,228.0,33.78,375,KW,375.0
412500244,BZWZ36,228.0,33.78,375,KW,375.0
412500244,BZWZ35,228.0,33.78,375,KW,375.0
412658750,BZXC13,97.0,32.28,220,KW,220.0
412658760,BZXC14,97.0,32.28,220,KW,220.0
412674190,BZUU2,578.0,56.45,1029,HP,771.75
412676430,BZZH,606.0,53.67,956,KW,956.0
412679030,BYLQ6,119.0,26.26,235.4,KW,235.4
412679040,BYLQ7,119.0,26.26,235.4,KW,235.4
412679050,BYLQ8,119.0,26.26,235.4,KW,235.4
412679210,BZUT4,497.0,56.4,1200,HP,900.0
412679230,BZZP,698.0,59.2,1176,KW,1176.0
412679240,BZZP4,698.0,59.2,1176,KW,1176.0
412685210,BZZP8,698.0,59.2,1176,KW,1176.0
412685220,BZZP9,698.0,59.2,1176,KW,1176.0
412687090,BYLQ5,119.0,26.26,235.4,KW,235.4
412687110,BYLQ9,119.0,26.26,235.4,KW,235.4
412687120,BYMQ2,119.0,26.26,235.4,KW,235.4
412687130,BYMQ3,119.0,26.26,235.4,KW,235.4
412687140,BYMQ4,119.0,26.26,235.4,KW,235.4
412687150,BYZB9,98.0,25.5,237,KW,237.0
412687160,BYZB11,98.0,25.5,237,KW,237.0
412687180,BYWB5,115.0,25.5,237,KW,237.0
412689320,BZSJ4,225.0,29.3,400,KW,400.0
412689850,BZZZ,128.0,34.8,407,KW,407.0
412689860,BZZZ2,128.0,34.8,407,KW,407.0
412689870,BZZZ3,128.0,34.8,407,KW,407.0
412689880,BZZZ4,128.0,34.8,407,KW,407.0
412690490,BZSI4,140.0,34.0,220,KW,220.0
412690510,BZSI5,140.0,34.0,220,HP,165.0
412691520,BIWA,164.0,34.2,600,HP,450.0
412691530,BIWB,164.0,34.2,600,HP,450.0
412691540,BIWC,157.0,29.2,407,KW,407.0
412691550,BIWD,157.0,29.2,407,kw,407.0
412694520,BIWE,150.0,29.8,407,KW,407.0
412694550,BZWA21,150.0,29.98,407,KW,407.0
412694560,BZWA22,150.0,29.98,407,KW,407.0
412694570,BZWA23,150.0,29.98,407,KW,407.0
412694580,BZWA25,150.0,29.98,407,KW,407.0
412694590,BZWA26,150.0,29.98,407,KW,407.0
412694610,BZWA28,150.0,29.98,407,KW,407.0
412695170,BZXC5,112.0,28.7,237,KW,237.0
412695180,BZXC6,102.0,24.0,400,KW,400.0
412695430,BZZS3,698.0,59.2,1176,KW,1176.0
412695490,BZZS9,698.0,59.2,1176,KW,1176.0
412695550,BZVY9,634.0,56.5,1000,HP,750.0
412695580,BZVZ4,634.0,56.5,735,KW,735.0
412696980,BZXH5,142.0,31.0,258,KW,258.0
412696990,BZXH6,142.0,31.0,258,KW,258.0
412698180,BZXC8,105.0,27.17,305,KW,305.0
412698190,BZXC9,105.0,27.17,305,KW,305.0
412699440,BZXC15,117.0,29.1,339,KW,339.0
412699450,BZXC16,117.0,29.1,339,KW,339.0
412699460,BZXC17,117.0,29.1,339,KW,339.0
412699470,BZXC18,117.0,29.1,339,KW,339.0
412699510,BZXC22,91.0,24.5,220,KW,220.0
412699520,BZXC23,84.0,24.5,224,KW,224.0
412699530,BZXC24,107.0,26.5,224,KW,224.0
412699540,BZXC25,107.0,26.5,224,KW,224.0
412699550,BZXC26,100.0,26.5,224,KW,224.0
412699560,BZXC27,100.0,26.5,218,KW,218.0
412699570,BZXC28,100.0,26.5,224,KW,224.0
412699950,BZXD2,123.0,26.5,319,KW,319.0
412763490,BZXD72,317.0,42.6,720,KW,720.0
412764850,BZXD76,317.0,42.6,720,KW,720.0
412926000,BZVK,995.0,64.7,2800,HP,2100.0
412946000,BIUA,2340.0,86.33,1911,KW,1911.0
412985000,BZUS5,497.0,56.4,1200,HP,900.0
412993000,BZUZ5,497.0,53.95,735,KW,735.0
413011000,BZZT3,523.0,55.2,882,KW,882.0
413032000,BIYA,995.0,64.7,2800,HP,2100.0
413034000,BZZW4,1087.0,66.23,2205,KW,2205.0
413224000,BIWX,1198.0,70.26,3000,HP,2250.0
413270220,BZZX6,619.0,55.83,1176,KW,1176.0
413270430,BZZX8,613.0,56.17,735,KW,735.0
413278000,BIWT,1769.0,79.77,2686,KW,2686.0
413321680,BBIR8,157.0,31.93,330,KW,330.0
413322680,BBZN2,190.0,36.6,330,KW,330.0
413322690,BBZN3,190.0,36.6,330,KW,330.0
413322760,BBZN4,190.0,36.6,330,KW,330.0
413322770,BBZN5,190.0,36.6,330,HP,247.5
413340000,BZZZ5,191.0,36.6,330,KW,330.0
413342000,BZZZ7,191.0,36.6,330,KW,330.0
413343000,BZZZ8,191.0,36.6,330,KW,330.0
413344000,BZZZ9,191.0,36.6,330,KW,330.0
413345000,BZZY3,191.0,36.6,330,KW,330.0
413462010,BZWY44,432.0,47.2,735,KW,735.0
413501950,BZWZ32,165.0,30.2,600,HP,450.0
416000029,BJ4602,79.07,27.0,450,HP,337.5
416000222,BK7364,40.69,20.3,350,HP,262.5
416000356,BJ4673,76.36,26.15,600,HP,450.0
416000373,BK6600,49.55,22.0,600,HP,450.0
416000445,BK7483,40.72,20.36,450,HP,337.5
416000446,BK7128,40.97,20.1,435,HP,326.25
416000737,BK6979,49.62,21.29,545,HP,408.75
416000776,BK7109,49.07,21.8,545,HP,408.75
416000806,BK7186,48.84,21.7,600,HP,450.0
416000819,BK7405,40.37,20.3,545,HP,408.75
416000947,BK7408,41.37,20.25,545,HP,408.75
416001500,BZMX,995.0,66.4,3000,HP,2250.0
416001774,BJ4370,64.96,17.25,600,HP,450.0
416001800,BZNQ,1091.0,69.26,3000,HP,2250.0
416002109,BK7174,43.75,21.35,543,HP,407.25
416002124,BK7498,41.83,15.7,435,HP,326.25
416002142,BJ4759,68.08,23.6,545,HP,408.75
416002343,BJ4431,55.6,17.1,600,HP,450.0
416002363,BJ4796,75.68,26.1,600,HP,450.0
416002444,BJ4706,98.0,25.5,950,HP,712.5
416002481,BK6856,48.33,21.0,545,HP,408.75
416002514,BK6947,48.36,22.5,545,HP,408.75
416002526,BK7481,40.76,20.35,545,HP,408.75
416002681,BJ4846,99.0,29.88,640,PS,473.6
416002686,BJ4851,87.35,23.23,855,HP,641.25
416002766,BK6602,49.56,22.0,450,HP,337.5
416002888,BJ4411,54.23,22.5,580,HP,435.0
416002933,BK7108,37.57,17.08,600,HP,450.0
416002973,BK6511,49.55,22.0,545,HP,408.75
416002989,BJ4524,52.52,22.1,600,HP,450.0
416003073,BJ4936,99.0,26.02,1000,HP,750.0
416003074,BJ4938,99.0,25.0,1000,HP,750.0
416003089,BJ4917,99.0,25.88,691,KW,691.0
416003089,BJ4917,99.0,25.88,691,KW,691.0
416003113,BK6248,42.57,19.4,620,HP,465.0
416003413,BJ4994,75.41,20.93,910,HP,682.5
416003466,BJ4330,59.34,22.4,545,HP,408.75
416003505,BK4757,39.58,19.23,450,HP,337.5
416003600,BI2473,535.0,53.7,1100,HP,825.0
416003684,BK6500,41.63,21.0,545,HP,408.75
416003700,BI2417,720.0,56.9,1400,HP,1050.0
416003741,BG3671,184.0,30.2,1342,HP,1006.5
416003984,BJ5031,95.98,21.12,1000,HP,750.0
416004000,BKKN,1484.0,70.59,3600,PS,2664.0
416004073,BJ5043,98.86,20.85,691,KW,691.0
416004246,BG3705,188.0,35.7,1032,PS,763.68
416004268,BJ5062,97.66,21.6,691,KW,691.0
416004299,BJ5061,99.7,23.9,940,HP,705.0
416004342,BJ5082,98.3,23.92,939.5,HP,704.625
416004369,BH3401,230.0,35.76,759,KW,759.0
416004375,BJ5091,99.69,21.5,940,HP,705.0
416004453,BJ5098,99.7,23.95,691,HP,518.25
416004728,BL2116,1288.0,70.59,3600,PS,2664.0
416004831,BL2127,1288.0,70.59,3200,HP,2400.0
416010900,BI2265,708.0,54.85,1400,PS,1036.0
416017500,BZKO,996.0,66.23,3000,HP,2250.0
416052600,BI2517,696.0,59.2,1600,PS,1184.0
416064900,BZHY,492.0,45.52,2080,HP,1560.0
416084500,BI2532,623.0,59.2,1600,PS,1184.0
416091900,BI2536,697.0,59.2,1600,HP,1200.0
416097500,BI2540,696.0,57.6,1600,PS,1184.0
416101900,BJ4712,93.18,27.32,760,PS,562.4
416102500,BJ4715,84.89,27.32,450,HP,337.5
416119800,BI2562,704.0,57.6,1600,PS,1184.0
416119900,BI2544,525.0,56.0,1500,PS,1110.0
416122800,BZME,718.0,56.3,1400,HP,1050.0
416123900,BI2560,568.0,55.75,1400,HP,1050.0
416127900,BJ4613,79.69,27.32,450,HP,337.5
416142600,BH3368,363.0,41.0,1000,HP,750.0
416154700,BJ4561,79.0,23.99,1000,HP,750.0
416164600,BI2575,530.0,56.0,1400,PS,1036.0
416168500,BI2581,627.0,59.2,1600,PS,1184.0
416168600,BI2583,627.0,59.2,1600,PS,1184.0
416171700,BI2552,635.0,59.2,1600,HP,1200.0
416173900,BI2573,530.0,56.0,1400,HP,1050.0
416175800,BJ4818,98.0,25.5,694,KW,694.0
416176700,BI2578,562.0,56.1,1400,HP,1050.0
416193900,BJ4737,79.45,23.0,1000,HP,750.0
416199800,BJ4778,99.74,23.4,1000,PS,740.0
416214700,BJ4921,99.0,25.5,1000,ps,740.0
416220800,BH3378,246.0,32.64,1032,HP,774.0
416221800,BJ4912,99.0,25.88,939.5,HP,704.625
416221900,BJ4968,98.0,29.7,829,HP,621.75
416232500,BI2576,643.0,57.6,1600,HP,1200.0
416232900,BJ5027,94.97,21.36,649,HP,486.75
416233500,BJ5029,96.8,21.5,649,HP,486.75
416233600,BL2096,1416.0,71.79,3200,HP,2400.0
416235600,BJ5056,96.58,23.9,691,KW,691.0
416237500,BL2099,1280.0,70.59,3600,PS,2664.0
416237600,BJ5076,97.88,23.95,939.5,HP,704.625
416237700,BJ5084,984.0,23.95,939.5,HP,704.625
416238700,BL2105,1428.0,71.79,3600,PS,2664.0
416238800,BL2106,1428.0,71.79,3600,PS,2664.0
416240900,BL2108,1428.0,71.79,3600,PS,2664.0
416240900,BL2108,1428.0,71.79,3600,PS,2664.0
416242900,BL2107,1467.0,70.59,3600,PS,2664.0
416243600,BL2115,1428.0,71.79,3600,HP,2700.0
416243700,BL2113,1428.0,71.79,3600,PS,2664.0
416247600,P2V5654,995.0,64.7,3000,HP,2250.0
416247900,BL2119,1484.0,70.59,3600,PS,2664.0
416298160,BZXC12,105.0,27.17,198.6,KW,198.6
416342000,BI2524,520.0,56.49,1400,PS,1036.0
416353000,BI2525,628.0,59.2,1400,PS,1036.0
416368000,BI2555,627.0,59.2,1600,PS,1184.0
416411000,BL2095,1179.0,72.37,3200,PS,2368.0
416500000,BEAB,1098.0,65.7,3000,HP,2250.0
416501000,BEDU,1096.0,69.26,3200,HP,2400.0
416503000,BH3249,496.0,45.6,895,KW,895.0
416506000,BL2051,1098.0,65.5,3000,PS,2220.0
416508000,4DFC6,995.0,64.7,2900,HP,2175.0
416549000,4DFC5,1081.0,69.25,3000,HP,2250.0
416574000,BZNC,1091.0,69.26,3000,HP,2250.0
