mmsi,flag_country_name,known_label,known_length,is_high_seas,crew
431167000,Japan,purse_seines,75.455,True,28
416001500,Taiwan,purse_seines,66.2666666667,False,32
413341000,China,drifting_longlines,32.7,True,13
440731000,South Korea,drifting_longlines,48.08,True,25
416168600,Taiwan,drifting_longlines,59.2,True,31
735059089,Ecuador,purse_seines,77.3,True,31
412460013,China,drifting_longlines,37.0,True,13
538060006,Marshall Islands,purse_seines,61.85,True,28
413011000,China,drifting_longlines,50.8,True,30
413501950,China,drifting_longlines,28.16,True,14
412470430,China,drifting_longlines,33.1333333333,True,15
412460297,China,drifting_longlines,37.6,True,15
412687160,China,drifting_longlines,24.19,True,9
416003676,Taiwan,drifting_longlines,23.93,True,14
416052600,Taiwan,drifting_longlines,59.24,True,31
416086600,Taiwan,drifting_longlines,53.15,True,30
412200115,China,drifting_longlines,37.25,True,14
576375000,Vanuatu,pole_and_line,42.7,False,13
576890000,Vanuatu,drifting_longlines,46.7644444444,True,26
440281000,South Korea,drifting_longlines,42.776,True,25
440934000,South Korea,drifting_longlines,50.5328571429,True,25
412326905,China,drifting_longlines,33.74,False,12
412326902,China,drifting_longlines,35.67,False,12
201851,China,drifting_longlines,33.9,True,18
412270059,China,drifting_longlines,53.69,False,30
412420903,China,drifting_longlines,41.0,True,17
412420896,China,drifting_longlines,41.0,True,17
441812000,South Korea,drifting_longlines,52.9811111111,True,25
431116000,Japan,drifting_longlines,49.2,True,24
431701780,Japan,drifting_longlines,48.03,True,25
431500530,Japan,drifting_longlines,50.6533333333,True,22
431869000,Japan,drifting_longlines,51.5466666667,True,25
440846000,South Korea,drifting_longlines,48.08,True,25
440987000,South Korea,drifting_longlines,50.255,True,25
432984000,Japan,drifting_longlines,54.0,True,24
416002017,Taiwan,drifting_longlines,17.5,False,7
440773000,South Korea,drifting_longlines,49.91,True,25
440946000,South Korea,drifting_longlines,50.79,True,25
520074000,Fiji,drifting_longlines,30.45,False,15
520190000,Fiji,drifting_longlines,25.8,True,13
520179000,Fiji,drifting_longlines,36.6,True,14
520187000,Fiji,drifting_longlines,28.2,False,13
366020000,United States,purse_seines,67.801375,False,35
412694580,China,drifting_longlines,29.98,False,12
416010900,Taiwan,drifting_longlines,76.0,True,50
441201730,South Korea,drifting_longlines,25.8,True,11
510062000,Federated States of Micronesia,purse_seines,62.175,True,24
412370008,China,drifting_longlines,46.28,True,28
432845000,Japan,purse_seines,66.93,True,22
518676000,Cook Islands,drifting_longlines,22.0,False,10
367463000,United States,purse_seines,64.991375,True,39
510056000,Federated States of Micronesia,purse_seines,68.83,False,17
412328731,China,purse_seines,57.3,False,35
538060016,Marshall Islands,purse_seines,71.79,True,32
440233000,South Korea,purse_seines,75.79375,True,22
412439607,China,purse_seines,64.8233333333,True,30
431503000,Japan,purse_seines,60.5325,False,24
431817000,Japan,purse_seines,60.52,False,24
431812000,Japan,purse_seines,60.68,False,25
431100850,Japan,purse_seines,57.65,True,26
510060000,Federated States of Micronesia,purse_seines,65.02,True,25
548905000,Philippines,purse_seines,68.4766666667,False,37
416001500,Taiwan,purse_seines,66.2666666667,False,35
416500000,Taiwan,purse_seines,65.7,True,30
412460029,China,drifting_longlines,49.14,True,25
440954000,South Korea,drifting_longlines,50.42625,True,25
441233000,South Korea,drifting_longlines,48.01,True,25
553111764,Papua New Guinea,purse_seines,70.8,True,41
431511000,Japan,purse_seines,58.7,False,26
529223000,Kiribati,purse_seines,61.2,True,21
510056000,Federated States of Micronesia,purse_seines,68.83,True,17
440450000,South Korea,purse_seines,74.9833333333,False,25
367767000,United States,purse_seines,68.79025,True,35
520218000,Fiji,drifting_longlines,32.0,True,20
431698000,Japan,pole_and_line,50.5633333333,True,28
416102500,Taiwan,drifting_longlines,27.3066666667,False,12
441644000,South Korea,drifting_longlines,49.0902857143,True,25
416119800,Taiwan,drifting_longlines,57.6,True,30
431200990,Japan,pole_and_line,48.78,True,24
413224000,China,purse_seines,70.26,False,28
367767000,United States,purse_seines,68.79025,False,35
440772000,South Korea,drifting_longlines,51.9625,True,25
440788000,South Korea,drifting_longlines,50.7896428571,True,25
432942000,Japan,drifting_longlines,52.5994444444,True,24
735059088,Ecuador,purse_seines,77.3,False,31
367084000,United States,purse_seines,69.164125,True,39
416501000,Taiwan,purse_seines,69.26,True,30
440595000,South Korea,drifting_longlines,50.2828571429,True,25
576574000,Vanuatu,purse_seines,82.4625,True,35
412371179,China,drifting_longlines,50.0419047619,True,30
