,mmsi,shiptype,length,tonnage,length_stddev,tonnage_stddev,number_shiptypes
2907,440664000,Reefer,91.8166666667,3387.66666667,0.344400587552,124.663311269,1
2908,412354268,Drifting_longlines,43.5,413.0,,,1
2909,416164600,Drifting_longlines,56.0,530.0,0.0,0.0,1
2910,247140520,Drifting_longlines,21.6,81.0,,,1
2911,627074000,Purse_seines,70.5,1304.42666667,0.0,219.468475956,1
2912,416002768,Drifting_longlines,27.2,79.78,0.0,0.235189892883,1
2913,224063680,Pole_and_line,36.0,231.0,,,1
2914,441029000,Drifting_longlines,49.91,387.0,0.0,50.6265505348,1
2915,412460043,Drifting_longlines,49.68,493.0,0.0,0.0,1
2916,636017258,Reefer,120.2,4574.0,0.0,0.0,1
2917,553111734,Purse_seines,70.8,1408.0,,,1
2918,538002582,Bunker,111.06,5770.0,,,1
2919,225459000,Purse_seines,87.0,2591.0,0.0,0.0,1
2920,431602690,Drifting_longlines,48.19,418.6,0.0,79.5989949685,1
2921,224167120,Purse_seines,22.6,60.66,,,1
2922,416001461,Drifting_longlines,23.94,62.0,,,1
2923,432726000,Purse_seines,73.89,1788.0,,,1
2924,247121080,Trawlers,24.9,69.0,,,1
2925,224137880,Unknown,23.79,130.0,,,1
2926,367060690,Unknown,16.24,34.0,,,1
2927,224052370,Drifting_longlines,30.0,286.0,0.0,0.0,1
2928,416174900,Drifting_longlines,54.2,712.453333333,0.0,0.326661433762,1
2929,271043430,Purse_seines,25.3,92.0,,,1
2930,247300850,Drifting_longlines,22.0,72.0,,,1
2931,204209960,Pole_and_line,20.0,86.64,,,1
