mmsi,engine_power_kw,length_m,ITC Gross Tons
367350060,335.7,22.265,114.0
367350260,238.72,25.1015,
367350760,,15.189,
367352000,931.008,27.6635,273.0
367353590,298.4,19.1235,
367354000,1044.4,33.977,412.0
367355000,1492.0,33.977,417.0
367355120,,17.629,
367355440,,13.5115,
367355870,,11.773,
367356320,,15.189,
367356710,913.85,28.0905,257.0
367358360,410.3,17.69,
367358520,,16.226,
367359170,287.21,22.875,
367360920,,13.5725,
367364340,350.62,24.0035,139.0
367367970,425.22,21.9905,
367369050,783.3,28.0905,263.0
367371250,932.5,25.803,244.0
367371890,559.5,24.034,183.0
367372000,954.88,33.245,348.0
367373350,671.4,25.8945,
367373450,74.6,24.156,136.0
367374000,447.6,30.683,205.0
367374490,477.44,20.2825,
367375120,380.46,18.361,
367375440,402.84,25.315,142.0
367378390,,33.5805,
367378410,,20.8925,
367379110,,21.9905,
367379150,634.1,23.8815,148.0
367379210,,24.705,127.0
367379720,,17.69,
367380910,373.0,19.337,
367382540,484.9,15.128,
367383720,2349.9,69.174,1691.0
367384460,484.9,25.2235,
367384580,,24.705,
367385870,820.6,26.1995,172.0
367388280,671.4,24.034,
367389120,,18.3,
367389220,466.25,24.156,140.0
367390380,2238.0,81.557,
367390410,492.36,14.9145,
367391340,335.7,23.851,
367394060,1417.4,41.9375,663.0
367394090,268.56,20.8925,
367394980,317.05,15.006,
367395640,2238.0,65.6055,2051.0
367395720,,19.642,
367395930,373.0,22.4785,
367397250,701.24,22.326,
367397450,272.29,17.2325,
367398120,,19.337,
367399460,74.6,9.76,
367400170,962.34,26.0165,
367401240,,18.605,
367401840,,16.5005,
367402670,,18.483,
367402860,,22.4175,
367402920,1193.6,37.9115,
367405340,,17.6595,
367406570,,15.0975,
367408020,820.6,33.6415,646.0
367408210,876.55,35.929,
367409750,447.6,19.276,
367411770,611.72,24.278,
367414380,805.68,27.2975,198.0
367420820,138.01,13.0845,
367426580,,15.86,
367433770,4595.36,54.839,1412.0
367434290,,17.6595,
367439730,354.35,21.655,
367439830,,17.69,
367444760,552.04,17.6595,
367448540,156.66,10.736,
367454240,462.52,23.9425,
367460660,1119.0,37.9115,677.0
367462350,634.1,22.448,
367463000,,63.1655,1517.0
367463820,373.0,21.35,
367465110,805.68,26.1995,172.0
367465130,723.62,30.5915,183.0
367470880,,17.69,
367474110,634.1,28.548,
367474160,,12.81,
367474410,279.75,10.675,
367477990,,21.5025,
367478000,1275.66,31.2625,321.0
367479000,1350.26,32.5435,352.0
367480370,596.8,30.988,182.0
367481870,70.87,10.492,
367485680,287.21,19.337,
367488280,,25.071,
367490000,1119.0,38.5825,
367493850,402.84,25.986,161.0
367494020,522.2,27.755,
367506240,238.72,21.106,
367510750,671.4,24.766,
367512170,537.12,26.962,171.0
367512180,500.566,24.1865,142.0
367512490,634.1,26.169,175.0
367512510,,25.376,164.0
367517140,290.94,19.032,
367522830,2238.0,47.1835,993.0
367525770,559.5,33.367,277.0
367528690,,51.7585,787.0
367530000,857.9,28.548,
367530460,272.29,19.1235,
367531260,261.1,20.13,
367534310,,24.7355,144.0
367536560,357.334,17.629,
367543740,317.05,21.167,
367544000,895.2,28.487,182.0
367546670,,10.37,
367553360,805.68,26.169,171.0
367553361,465.504,24.4,132.0
367557840,313.32,13.969,
367563000,1286.85,32.1775,
367565250,820.6,16.531,
367565560,357.334,17.69,
367565680,,17.6595,
367566960,559.5,20.862,
367568930,317.05,16.531,
367569470,272.29,15.982,
367570430,,50.142,1712.0
367571490,,26.169,170.0
367578000,,36.8745,343.0
367578550,559.5,21.228,
367588000,559.5,22.936,
367589000,373.0,24.278,148.0
367590010,522.2,17.202,
367594860,559.5,16.0735,
367598880,842.98,30.134,
367601000,1007.1,35.563,
367602000,,15.2195,
367602190,,9.211,
367605460,261.1,20.862,
367606470,298.4,17.08,
367609000,969.8,33.3365,237.0
367609850,447.6,15.4025,
367617080,522.2,20.2215,
367621180,,31.476,
367623150,298.4,12.81,
367623690,,24.156,134.0
367627530,223.8,14.9145,
367631140,253.64,20.862,
367642750,298.4,19.1235,
367647840,373.0,15.128,
367649000,2685.6,59.8105,1619.0
367650000,857.9,35.746,338.0
367650420,298.4,15.677,
367651970,783.3,17.6595,
367654070,,15.1585,
367658000,2238.0,64.477,1453.0
367664640,272.29,20.984,
367666000,,79.3305,2024.0
367668710,,14.701,
367673610,298.4,18.239,
367674280,,17.629,
367677990,298.4,20.862,
367680520,317.05,20.618,
367680660,317.05,20.618,
367688710,246.18,11.8035,
367691290,317.05,23.79,
367694000,2238.0,40.4735,691.0
367704540,,68.625,2451.0
367705530,484.9,31.903,307.0
367706450,,17.2325,
367717750,223.8,14.6705,
367720070,89.52,13.359,
367721000,596.8,23.79,
367722110,,27.1145,
367722480,2349.9,47.2445,1370.0
367722830,237.228,20.435,
367727070,500.566,24.705,125.0
367727460,402.84,26.962,180.0
367729000,4476.0,53.5885,1318.0
367730000,3730.0,53.5885,1318.0
367732660,,20.7095,
367741839,,52.9175,2037.0
