mmsi,clav_TUVI,rfmo_id,length,tonnage,power_kw
431927000,621,4187,52.6,499,
204228000,1320,14401,28.6,228,547.6
345140500,24370,15578,79.05,2042,3700
412420877,24527,15539,44.19,476,888
367161340,1736,7391,24.14,114,314.5
431613000,598,5469,49.2,379,
416002794,4565,14628,26.1,79,613.46
367134180,407,1615,15.84,51,185
431602342,1330,4537,47.8,398,
224101950,37949,14945,25.2,138,306.36
440886000,902,8305,49.61,421,888
440646000,266,8173,47.21,408,888
412460281,24528,15540,38.85,302,895.4
416069500,6800,8601,56,496,1036
224083590,1442,8787,28,169,264.18
576596000,468,9273,46.55,576,
441242000,862,5381,51.01,441,740
432914000,641,4277,50.59,436,740.74
431693000,1130,13609,56.87,499,1480
431101210,592,5533,48.19,409,739.26
367474160,2998,10695,12.8,21,407
440770000,9,8231,49.91,414,888
440280000,874,8333,49.61,427,888
440313000,1186,14653,49,392,1036
431200060,301,13572,56.3,499,
735057565,1955,4051,68.27,2193,
370599000,24163,15245,127.81,6558,
735059088,1703,4126,77.3,2165,3256
413270430,529,4921,49,613,740
431602890,765,4881,49.14,453,740
416219600,1094,5855,28.2,97,444
416891000,6792,8573,48.7,464,740
440934000,890,8293,49.61,416,888
416118500,404,8609,40,296,740
440298000,485,8399,49.91,414,888
431272000,15598,12071,51.19,499,
338001016,4047,13451,16.15,29,518
224069960,37946,14935,28,182,255.3
735058806,4116,13719,54.58,578,888
224140000,24481,14942,40.3,399,364.82
431022000,141,4795,52.6,499,
224733000,744,12429,NA,2767,
730017000,4729,3496,61.26,1468,2664
431701650,139,4419,49.32,409,
224306000,1434,6363,29.1,220,444.74
367318950,4483,14504,20.87,94,370
441090000,925,8373,49.91,411,888
416002404,119,14626,25.78,79,444
576728000,28529,138,94.32,3431,3013.28
431704330,594,5465,49.9,409,
775627000,4749,3649,61.26,1049,
367444510,24455,15054,15.11,97,370
440946000,168,8103,49.91,416,888
416779000,339,8659,56.65,719,962
224106130,1480,8869,28,185,264.18
412460287,24540,15552,38.85,302,851
224696000,195,12127,39.35,517,467.68
416004245,38607,14958,23.9,98,695.6
431680000,1276,13610,56.2,498,
431612000,12638,14638,32.2,122,729.64
367571490,26317,15825,26.15,154,888
316002956,3468,12381,26.21,418,
520218000,2087,5051,32,179,561.66
368046000,15659,12481,72.37,1283,
416004246,19747,14647,35.7,188,763.68
416833000,5738,8593,53.15,498,888
316002732,21345,14902,18.29,92,270.1
440810000,263,8215,43.47,387,962
367156340,1699,13296,21.12,101,444
431000650,15675,12097,48.4,459,
416225500,1033,14622,29.2,99,763.68
316018816,21187,14738,23.32,90,481
371106000,24877,15622,89.28,2700,3330
431603120,1014,4587,47.2,379,
441014000,203,8131,49.91,417,888
416242800,24746,15253,35.5,205,763.68
224892000,1484,8891,28,115,
432568000,1142,9191,42.02,289,
412460284,24531,15543,38.85,302,895.4
224581000,1242,12365,39,427,318.2
316001125,3476,12389,28.95,370,366.3
431482000,399,4717,50.8,439,384.8
431206000,600,4529,49.2,396,729.64
354655000,26897,14331,68.54,1176,
440656000,885,8251,47.21,384,740
431245000,38399,15997,50.59,479,740
441038000,205,8137,49.91,416,888
367466760,1286,11241,27.24,171,399.6
366954430,83,9843,18.98,86,270.1
368699000,27006,13314,30.5,176,444
432367000,1068,9131,50.59,439,739.26
224253000,1790,14943,28.85,217,370
431750000,1029,4869,49.3,379,
440604000,1125,8349,48.28,401,888
316003957,21400,14790,12.97,13,93.98
224160000,961,6409,32,338,577.94
432626000,596,13615,50.8,439,1183.26
431682000,144,4815,52.61,499,740
224098250,18,8841,28,99,
440773000,531,8105,49.91,423,888
441098000,918,8385,49.91,411,888
416730000,23961,15971,71.4,995,
576285000,38178,14326,105.37,3519,2960
576770000,711,9309,37.5,199,
224881000,748,12437,39.8,437,
416003955,1035,13758,34,180,763.68
440792000,851,8283,49.9,414,888
352894000,23969,14346,113.37,4499,
440703000,857,8299,49.61,416,888
431704520,645,4653,49.9,409,739.26
440647000,269,8171,47.21,383,740
224005790,2040,8909,28,201,392.2
431380000,595,5475,51.2,469,1183.26
431703560,544,4341,49.38,409,
431914000,606,13579,52.65,455,
224782000,1424,3862,105,3584,4440
432943000,24369,15577,50.59,436,739.26
367179000,15688,12487,71.79,1284,
224233000,7961,8783,32,186,
416142600,1371,9585,41,363,740
440671000,1021,3463,60.35,992,
416199800,137,14404,27.6,100,740
440055000,870,8319,47.99,389,888
775615000,4705,3232,61.26,945,
431500460,441,4781,48.19,379,
224124000,26902,14912,132.9,7207,5805.3
529417000,38212,14596,68.85,702,
224166160,1216,8905,38.83,194,
416002556,1097,14365,28.2,97,695.23
224049630,1474,8831,27.3,180,370
416008800,446,8579,52.65,496,814
416015700,447,8665,54.85,708,1036
416214600,106,14623,29.7,99,740
416785000,514,8589,52.65,497,888
224762000,1862,8851,25,76,
367020280,958,10835,14.11,27,203.5
431500530,558,4733,48.4,379,739.26
224132000,1508,14939,30,262,506.9
224048150,1936,14951,26.3,188,455.1
367005320,3484,12499,15.33,32,240.5
735059089,1702,9431,77.3,2165,3256
440552000,12526,16000,60.3,1349,2664
416086600,26609,15910,53.15,449,814
367028360,714,13144,17.37,23,118.4
356394000,4845,4135,78.63,1516,3996
432353000,37974,9057,49.39,379,
416004339,24777,15267,23.9,100,695.6
529086000,26781,14337,95.2,2900,2442
224980000,7960,8781,28,150,
775610060,4725,3415,70.4,1363,
412460283,24530,15542,38.85,302,895.4
577322000,38309,15984,57.75,618,740
735057564,113,3517,86.86,2384,
367323610,1476,11257,25.81,129,399.6
312273000,26684,15678,152.94,12413,7644.2
416003676,656,14389,23.93,95,613.46
367079690,24943,15491,22.34,143,629
367157650,3767,12991,19.11,77,333
412460299,652,15562,49.99,619,740
512012000,14421,3646,61.26,1062,
735057579,4837,4093,78.02,1449,2664
368652000,813,10687,20.42,51,247.9
664000023,9475,12025,48.19,379,
367384840,26566,15900,19.65,71,777
367060690,26425,10081,16.24,34,136.9
512085000,14424,3676,73.82,1775,2960
416004507,24778,15268,23.9,175,695.6
