mmsi,gross_tonnage,length_m,engine_power_kW
412203740,1950.0,84.03,1471.0
412326887,1491.0,NA,1470.0
412301150,974.0,61.28,1176.0
412238811,955.0,NA,735.0
412420968,709.0,NA,1e3
412328786,1266.0,NA,882.0
412328785,917.0,59.67,882.0
412328784,1266.0,58.02,882.0
412426333,942.0,59.96,971.0
412326889,1491.0,NA,1470.0
412420377,948.0,59.62,1323.0
412326885,955.0,57.5,882.0
412236884,955.0,59.62,882.0
412326883,955.0,59.62,882.0
412420225,472.0,44.98,551.0
412421018,726.0,NA,1e3
412420989,716.0,NA,993.0
412420936,989.0,NA,1470.0
412420908,989.0,61.14,1470.0
412420912,989.0,61.14,1470.0
412420935,989.0,NA,1470.0
412420872,586.0,44.9,882.0
412420873,586.0,44.9,882.0
412421042,551.0,NA,1e3
412421039,551.0,NA,1e3
412421038,551.0,NA,1e3
412421037,551.0,NA,1e3
518100126,3244.0,105.29,2942.0
261522000,7681.0,105.0,5920.0
277312000,5899.0,136.01,4600.0
244563000,14055.0,144.6,14400.0
277348000,7313.0,134.02,7060.0
277380000,7313.0,134.02,7060.0
277397000,7326.0,134.02,7060.0
261550000,1467.56,67.47,5420.0
277327000,4587.0,120.7,5292.0
218066000,9082.0,140.8,8640.0
277330000,9499.0,142.79,9840.0
261518000,7765.0,120.42,5296.0
441879000,454.0,50.55,918.0
4418679,454.0,50.55,918.0
440502000,1020.0,60.09,1765.0
440818000,737.0,57.71,1194.0
412905875,737.0,57.71,1194.0
441410000,430.14,49.21,1119.0
440662000,49.3,51.73,1029.0
440899000,3201.0,95.6,2793.0
441870000,3571.0,NA,3680.0
440540000,309.51,43.7,882.0
441082000,330.0,NA,1176.0
440863000,3255.0,93.5,3602.0
440912000,5549.02,NA,4190.0
440684000,951.0,55.02,1176.0
441565000,951.0,55.02,1176.0
441142000,1096.0,64.03,1323.0
440811000,539.0,61.72,1194.0
440108000,1096.0,64.0,1324.0
444000762,1096.0,64.0,1324.0
440683000,631.0,49.68,992.0
440793000,631.0,49.68,992.0
441053000,271.0,50.98,1911.0
441182000,1501.0,81.7,2352.0
441766000,1105.0,69.94,1342.0
412420778,1105.0,69.94,1342.0
441767000,1123.0,69.5,1342.0
720123000,1123.0,69.5,1342.0
440995000,794.0,61.72,1044.0
431995000,794.0,61.72,1044.0
441051000,276.0,58.2,1911.0
441723000,6082.0,126.0,6355.0
440214000,5893.0,136.83,4667.25
440097000,5469.0,124.7,5145.0
441759000,4428.0,109.0,4777.5
441699000,7765.0,120.4,6e3
440038000,1037.0,65.24,1617.0
636013146,9074.0,140.44,7060.0
636015543,7326.0,134.02,7060.0
636092423,7326.0,134.02,7060.0
8442807,7326.0,134.02,7060.0
636091463,7326.0,134.02,7060.0
636092595,7687.0,116.5,4500.0
636017108,6558.0,134.15,4550.0
636012261,8487.0,141.0,7945.0
636013651,9070.0,148.5,6765.0
636017301,2581.0,88.94,1471.0
636017162,3989.0,99.06,2998.0
636016998,5617.0,119.55,6355.0
636016700,5136.0,115.0,5001.0
636016916,5617.0,119.55,5295.0
636017460,3798.0,105.5,3910.0
636015542,7313.0,134.02,7060.0
636092421,7313.0,134.02,7060.0
636091462,7313.0,134.02,7060.0
636017161,3802.0,106.86,2942.0
636091098,6082.0,126.0,7060.0
636091097,7329.0,134.02,5999.0
636091096,7329.0,134.02,5999.0
636017359,3936.0,100.98,2942.0
636017004,6579.0,133.92,6750.0
636017396,3858.0,98.28,2950.0
636017468,3496.0,94.65,2942.0
636017275,2717.0,91.48,1471.0
636017709,11243.0,144.35,11030.0
636013153,8739.0,141.01,8050.0
636017556,10629.0,150.3,11401.0
529781000,10629.0,150.3,11401.0
636017561,12413.0,152.94,7600.0
512002681,498.0,37.0,1470.0
512006000,1079.0,46.5,802.0
503449000,1079.0,46.5,802.0
512392000,317.0,32.7,690.0
512000102,733.0,42.0,1875.0
512008000,1079.0,46.5,1075.0
512027000,1508.0,51.2,2350.0
512000127,498.0,32.0,151.0
512000126,1899.0,64.05,3342.0
512000030,671.0,43.7,1620.0
512000015,1048.0,42.5,1776.0
356517000,6971.0,120.98,7060.78
351478000,12413.0,144.34,10332.0
352351000,NA,134.59,7945.0
354240000,NA,150.3,11400.0
356728000,6082.0,116.33,7060.0
352784000,7307.0,125.03,9600.0
353306000,7367.0,127.38,7060.0
353981000,9997.0,143.3,11632.0
373755000,6082.0,126.0,7060.0
356609000,NA,140.0,6863.0
357735000,NA,127.38,7060.0
351336000,NA,127.38,7060.79
354871000,8487.0,134.59,7945.0
371812000,NA,134.59,7945.0
352349000,7307.0,125.01,9600.0
356514000,7800.0,138.0,7060.0
371335000,6268.0,145.58,5995.0
372910000,4986.0,117.8,5295.0
354716000,4939.0,124.8,6300.0
354469000,4939.0,124.8,6300.0
354062000,4970.0,124.7,4438.7
374610000,12413.0,134.59,7945.0
374198000,8896.0,NA,7945.0
370178000,11375.0,144.08,6480.0
374734000,NA,134.59,7945.0
