mmsi,country
251243340,ISL
412000411,CHN
800035766,
412320033,CHN
367384460,USA
413804028,CHN
369515000,USA
412333521,CHN
412348832,CHN
412449087,CHN
900268698,
251465640,ISL
800000877,
412428018,CHN
316004776,CAN
367019320,USA
316004576,CAN
257574600,NOR
701006145,ARG
414004122,CHN
423525077,AZE
412203441,CHN
412010718,CHN
800036378,
412416864,CHN
431301296,JPN
200010343,
412306829,CHN
800035969,
263417680,PRT
412422916,CHN
412284229,CHN
412421407,CHN
412410341,CHN
412420409,CHN
412348914,CHN
412427873,CHN
412369633,CHN
645221000,MUS
412313383,CHN
412042117,CHN
412443394,CHN
416002836,TWN
412201733,CHN
412422123,CHN
800036276,
273550600,RUS
412213354,CHN
412470469,CHN
440076000,KOR
412427815,CHN
412033888,CHN
412348932,CHN
412445767,CHN
235090444,GBR
251494110,ISL
800025689,
412302021,CHN
413568801,CHN
412470171,CHN
415976689,
251232440,ISL
412422784,CHN
412411881,CHN
412214774,CHN
412332861,CHN
200013850,
412432365,CHN
219001214,DNK
412322535,CHN
999817037,
800031287,
251384000,ISL
725000950,CHL
577321000,VUT
800010340,
412413046,CHN
412422009,CHN
412416842,CHN
366758680,USA
412566333,CHN
412671870,CHN
413087655,CHN
412451379,CHN
412424673,CHN
800038589,
412440484,CHN
412412171,CHN
367037740,USA
412213462,CHN
257583600,NOR
273219300,RUS
412433603,CHN
251436110,ISL
413043175,CHN
412005745,CHN
412421473,CHN
225018770,ESP
905107688,
568888888,
800019462,
422742358,IRN
412451639,CHN
412432183,CHN
235001921,GBR
412431701,CHN
412448923,CHN
905116208,
412027012,CHN
412420023,CHN
201201205,ALB
790701418,
412412337,CHN
251402440,ISL
800044729,
412445937,CHN
200007267,
257128020,NOR
412416674,CHN
412108467,CHN
412285095,CHN
412127299,CHN
412436694,CHN
412440371,CHN
412348739,CHN
412426795,CHN
412438882,CHN
413777666,CHN
900017279,
412451527,CHN
412214195,CHN
412470179,CHN
730051000,COL
200010309,
413088576,CHN
251059110,ISL
235068355,GBR
800000312,
412354325,CHN
200013274,
800043738,
800033632,
416206146,TWN
412448932,CHN
412110429,CHN
525007007,IDN
412410703,CHN
900005308,
247141280,ITA
200005808,
412422296,CHN
271072036,TUR
271072287,TUR
926312339,
412415840,CHN
412324729,CHN
412423591,CHN
257121840,NOR
412329657,CHN
800004301,
412438444,CHN
412410403,CHN
257764500,NOR
412205091,CHN
257533600,NOR
905108098,
412281292,CHN
412432467,CHN
773000,
367406850,USA
412327645,CHN
200009075,
412421697,CHN
412432785,CHN
800043433,
770576114,URY
431046000,JPN
257154320,NOR
412333163,CHN
316005262,CAN
518676000,COK
412410814,CHN
412320355,CHN
412423247,CHN
110705896,
412324603,CHN
412421808,CHN
412415852,CHN
412437511,CHN
412422358,CHN
200011627,
601795000,ZAF
431001553,JPN
235008523,GBR
412470262,CHN
412410828,CHN
412206201,CHN
412412674,CHN
412214383,CHN
412412402,CHN
412428309,CHN
412281477,CHN
412433525,CHN
200005989,
413836172,CHN
338156463,USA
257014540,NOR
244486000,NLD
412330078,CHN
412286066,CHN
412446766,CHN
800002909,
412428127,CHN
900024068,
412002309,CHN
412464579,CHN
367134360,USA
251415840,ISL
412436808,CHN
412433429,CHN
431004541,JPN
412284711,CHN
800029699,
412482308,CHN
316029736,CAN
412205197,CHN
412427009,CHN
412330354,CHN
413201366,CHN
412432686,CHN
100700106,
273450230,RUS
412188188,CHN
412412153,CHN
412437944,CHN
235109091,GBR
412370637,CHN
601064600,ZAF
412428121,CHN
412004177,CHN
412423641,CHN
412324915,CHN
251088110,ISL
441868000,KOR
412324607,CHN
412449859,CHN
412678790,CHN
412324037,CHN
273559500,RUS
800004569,
235000770,GBR
412431157,CHN
412443415,CHN
412285031,CHN
273384020,RUS
251562240,ISL
412323926,CHN
412476869,CHN
368555000,USA
412438481,CHN
412210744,CHN
800031702,
412422745,CHN
412439619,CHN
412364431,CHN
412285283,CHN
412433329,CHN
200003311,
800004297,
900023392,
412439388,CHN
235114648,GBR
257849380,NOR
412349021,CHN
412323822,CHN
412449697,CHN
415532155,
412416014,CHN
412413611,CHN
412430254,CHN
271072021,TUR
412437017,CHN
412369027,CHN
412431084,CHN
271072069,TUR
150204368,
412412602,CHN
412332863,CHN
251520440,ISL
257140620,NOR
251791240,ISL
200006029,
415788888,
367677480,USA
412324099,CHN
412324681,CHN
414201009,CHN
412418794,CHN
412417183,CHN
412421376,CHN
412461218,CHN
412436322,CHN
412076059,CHN
412428746,CHN
258380500,NOR
412433701,CHN
367692120,USA
926002006,
251544000,ISL
412460951,CHN
412320801,CHN
412418327,CHN
412324124,CHN
251280540,ISL
412414521,CHN
412437227,CHN
419006299,IND
412260005,CHN
412444538,CHN
412019545,CHN
412211598,CHN
200006986,
412201042,CHN
412428636,CHN
412410779,CHN
412323217,CHN
412448632,CHN
412815998,CHN
228364000,FRA
12,
412410327,CHN
412286285,CHN
367688850,USA
700000576,
412326637,CHN
412699540,CHN
412423271,CHN
412285229,CHN
412325542,CHN
244810663,NLD
251540540,ISL
659350000,NAM
800008104,
228236600,FRA
412442214,CHN
316002350,CAN
224961640,ESP
412331122,CHN
900025839,
412438623,CHN
412413036,CHN
412314567,CHN
412441764,CHN
212003333,CYP
412420275,CHN
257317120,NOR
416004349,TWN
257757500,NOR
412015028,CHN
800036538,
412330087,CHN
412470107,CHN
412200573,CHN
800036186,
367507050,USA
412068281,CHN
412330975,CHN
412460373,CHN
413556833,CHN
24081180,
412329067,CHN
251296340,ISL
413703116,CHN
413243029,CHN
800000398,
900024337,
412421597,CHN
412324021,CHN
905108566,
412437119,CHN
431006259,JPN
412281451,CHN
905104866,
412419531,CHN
412706485,CHN
412423967,CHN
412460259,CHN
800010913,
412510307,CHN
257107120,NOR
224007260,ESP
900020154,
412302191,CHN
228236000,FRA
800025965,
412435219,CHN
251272640,ISL
412451788,CHN
412419758,CHN
800060618,
412451061,CHN
412501533,CHN
251418740,ISL
800003393,
412426996,CHN
412445077,CHN
601056900,ZAF
412432781,CHN
412439363,CHN
412416273,CHN
412413977,CHN
265755810,SWE
251268440,ISL
657659000,NGA
412421765,CHN
247041460,ITA
419008633,IND
601183700,ZAF
256000788,MLT
412396207,CHN
701000620,ARG
412451066,CHN
412427018,CHN
412435978,CHN
257308940,NOR
257415600,NOR
412427964,CHN
412364152,CHN
701000672,ARG
235099603,GBR
227318540,FRA
412457856,CHN
412448901,CHN
227312140,FRA
412370742,CHN
418500207,
412213876,CHN
251223240,ISL
316031007,CAN
412348992,CHN
257198340,NOR
412435171,CHN
235074495,GBR
412420119,CHN
413788039,CHN
251801110,ISL
412462273,CHN
111203548,
228126000,FRA
331209000,GRL
412422646,CHN
412059691,CHN
412432695,CHN
412460743,CHN
412411781,CHN
412441205,CHN
412460682,CHN
412060026,CHN
412325423,CHN
412444681,CHN
258530810,NOR
412431706,CHN
412327479,CHN
366975990,USA
900401822,
412001234,CHN
412324465,CHN
257116240,NOR
412413285,CHN
257699800,NOR
200005886,
412433846,CHN
421009708,
412462276,CHN
412367201,CHN
244650394,NLD
412365451,CHN
412287001,CHN
510061000,FSM
412421546,CHN
412284882,CHN
800009727,
412449681,CHN
905101198,
412286323,CHN
412450707,CHN
412432354,CHN
412415355,CHN
412443287,CHN
412417605,CHN
325277000,DMA
412423403,CHN
235111765,GBR
412448259,CHN
257414820,NOR
412445132,CHN
412461339,CHN
228349800,FRA
412444908,CHN
412056623,CHN
130701836,
800037927,
701006069,ARG
416000246,TWN
800040234,
412210231,CHN
412437274,CHN
900306968,
367315810,USA
412335578,CHN
257079240,NOR
812041188,
273890100,RUS
150203941,
412421367,CHN
431602339,JPN
367503940,USA
224089160,ESP
412323673,CHN
416005014,TWN
412213968,CHN
257136500,NOR
412410127,CHN
412460552,CHN
412428652,CHN
257220340,NOR
800017838,
412426919,CHN
412324464,CHN
150203054,
412413121,CHN
412200146,CHN
367192350,USA
412441397,CHN
412412325,CHN
412214711,CHN
235097972,GBR
412422813,CHN
412441061,CHN
905108188,
247053150,ITA
338077247,USA
428483000,ISR
