mmsi,eu_fishing,eu_label,eu_sublabel,eu_label2,eu_sublabel2,eu_length,eu_tonnage
224272000,Fishing vessel,Set gear,Set longlines,Set gear,Pots and traps,26.4,200.0
219762000,Fishing vessel,Set gear,Set gillnets,Trawlers,Trawlers,35.1,263.0
224019620,Fishing vessel,Purse seines,Purse seines,,,36.0,229.0
265779000,Fishing vessel,Trawlers,Trawlers,,,33.4,191.0
219002251,Fishing vessel,Trawlers,Trawlers,,,11.96,19.0
247092890,Fishing vessel,Trawlers,Trawlers,Set gear,Set longlines,21.26,60.0
247142190,Fishing vessel,Purse seines,Purse seines,Set gear,Set longlines,16.8,29.0
247063240,Fishing vessel,Trawlers,Trawlers,,,19.49,51.0
219013976,Fishing vessel,Set gear,Set gillnets,Set gear,Set longlines,15.48,46.9
247052590,Fishing vessel,Trawlers,Trawlers,,,21.06,70.0
224090990,Fishing vessel,Set gear,Set longlines,,,23.38,74.0
263416770,Fishing vessel,Trawlers,Trawlers,,,18.0,86.43
227631850,Fishing vessel,Trawlers,Trawlers,Set gear,Pots and traps,8.77,5.66
247143230,Fishing vessel,Purse seines,Purse seines,Set gear,Set longlines,22.38,85.0
256000513,Fishing vessel,Drifting longlines,Drifting longlines,Set gear,Set longlines,20.0,45.0
232007030,Fishing vessel,Set gear,Set longlines,,,29.3,223.0
263429640,Fishing vessel,Set gear,Set gillnets,,,14.65,22.75
220127000,Fishing vessel,Trawlers,Trawlers,Set gear,Set gillnets,16.6,49.9
219005881,Fishing vessel,Set gear,Set gillnets,,,9.3,6.3
235002029,Fishing vessel,Trawlers,Trawlers,,,14.93,29.41
224214550,Fishing vessel,Trawlers,Trawlers,,,26.3,97.11
240496000,Fishing vessel,Set gear,Set longlines,,,15.85,25.0
224234720,Fishing vessel,Purse seines,Purse seines,,,19.0,33.5
207822580,Fishing vessel,Trawlers,Trawlers,Set gear,Set gillnets,15.7,18.23
205262000,Fishing vessel,Trawlers,Trawlers,,,34.8,236.0
238316240,Fishing vessel,Purse seines,Purse seines,Trawlers,Trawlers,25.65,152.0
247082520,Fishing vessel,Trawlers,Trawlers,,,27.0,114.0
227321830,Fishing vessel,Trawlers,Trawlers,,,15.0,41.6
237123000,Fishing vessel,Purse seines,Purse seines,Trawlers,Trawlers,19.5,41.0
247141870,Fishing vessel,Trawlers,Trawlers,Set gear,Set gillnets,18.06,40.0
263509000,Fishing vessel,Trawlers,Trawlers,,,31.25,244.0
211315630,Fishing vessel,Trawlers,Trawlers,,,22.45,101.0
224137940,Fishing vessel,Trawlers,Trawlers,,,26.01,107.09
235001810,Fishing vessel,Fishing vessel,Fishing vessel,,,26.0,252.0
246314000,Fishing vessel,Trawlers,Trawlers,Set gear,Set gillnets,19.86,28.0
244850157,Fishing vessel,Trawlers,Trawlers,,,30.68,116.0
224078380,Fishing vessel,Trawlers,Trawlers,,,20.66,46.29
247147630,Fishing vessel,Trawlers,Trawlers,Set gear,Set longlines,21.69,65.0
224024540,Fishing vessel,Purse seines,Purse seines,,,17.23,39.89
247081440,Fishing vessel,Trawlers,Trawlers,,,19.27,53.0
247149490,Fishing vessel,Trawlers,Trawlers,,,20.89,50.0
250107700,Fishing vessel,Trawlers,Trawlers,,,22.0,94.0
227347000,Fishing vessel,Trawlers,Trawlers,,,32.8,283.0
219936000,Fishing vessel,Trawlers,Trawlers,,,19.4,85.5
237566000,Fishing vessel,Trawlers,Trawlers,,,19.4,47.0
247141970,Fishing vessel,Trawlers,Trawlers,Set gear,Set longlines,22.05,73.0
237418000,Fishing vessel,Trawlers,Trawlers,,,26.0,125.0
244583000,Fishing vessel,Trawlers,Trawlers,,,114.87,6005.0
204266000,Fishing vessel,Set gear,Set gillnets,,,15.06,21.99
224051650,Fishing vessel,Purse seines,Purse seines,,,24.0,75.61
211279120,Fishing vessel,Trawlers,Trawlers,,,23.89,159.0
247149950,Fishing vessel,Trawlers,Trawlers,Set gear,Set longlines,22.02,90.0
244010526,Fishing vessel,Set gear,Set gillnets,Pole and line,Pole and line,9.16,7.0
224128650,Fishing vessel,Trawlers,Trawlers,,,23.0,106.0
247140080,Fishing vessel,Purse seines,Purse seines,,,25.13,77.0
224295000,Fishing vessel,Drifting longlines,Drifting longlines,,,24.5,187.6
237131000,Fishing vessel,Trawlers,Trawlers,,,32.8,208.0
247143690,Fishing vessel,Trawlers,Trawlers,,,21.8,73.0
227593840,Fishing vessel,Trawlers,Trawlers,,,24.9,153.49
235011319,Fishing vessel,Trawlers,Trawlers,,,43.51,315.0
247083540,Fishing vessel,Trawlers,Trawlers,,,28.1,108.0
218299000,Fishing vessel,Trawlers,Trawlers,,,25.27,76.0
224085130,Fishing vessel,Trawlers,Trawlers,,,17.0,30.57
218359000,Fishing vessel,Trawlers,Trawlers,,,86.33,2417.0
239321000,Fishing vessel,Purse seines,Purse seines,,,19.05,36.0
263294000,Fishing vessel,Set gear,Pots and traps,Set gear,Set longlines,16.08,21.33
224389000,Fishing vessel,Trawlers,Trawlers,,,36.3,315.0
224110000,Fishing vessel,Drifting longlines,Drifting longlines,,,25.25,203.0
247147880,Fishing vessel,Trawlers,Trawlers,Set gear,Set longlines,18.9,40.0
244211000,Fishing vessel,Trawlers,Trawlers,,,21.06,54.0
235020111,Fishing vessel,Set gear,Pots and traps,Fishing vessel,Fishing vessel,5.9,1.25
237993000,Fishing vessel,Purse seines,Purse seines,,,19.95,46.0
204257000,Fishing vessel,Purse seines,Purse seines,Set gear,Set gillnets,21.5,63.54
224237650,Fishing vessel,Set gear,Set longlines,,,12.6,14.1
227579000,Fishing vessel,Set gear,Set gillnets,,,31.85,212.0
247094080,Fishing vessel,Trawlers,Trawlers,,,17.05,26.0
224107760,Fishing vessel,Trawlers,Trawlers,,,17.0,45.0
239462000,Fishing vessel,Purse seines,Purse seines,,,16.3,20.0
239055000,Fishing vessel,Purse seines,Purse seines,,,24.3,103.0
26103770,Fishing vessel,Set gear,Set longlines,Set gear,Set gillnets,17.26,36.0
219013538,Fishing vessel,Trawlers,Trawlers,,,23.95,210.0
224074680,Fishing vessel,Trawlers,Trawlers,,,20.98,64.02
240724000,Fishing vessel,Purse seines,Purse seines,Set gear,Set gillnets,19.9,27.0
224052260,Fishing vessel,Trawlers,Trawlers,,,17.5,37.99
240314000,Fishing vessel,Trawlers,Trawlers,,,33.2,252.0
224000240,Fishing vessel,Set gear,Set longlines,Set gear,Pots and traps,33.0,162.0
238655940,Fishing vessel,Trawlers,Trawlers,Purse seines,Purse seines,17.3,24.97
250101700,Fishing vessel,Trawlers,Trawlers,,,37.3,469.0
247118040,Fishing vessel,Purse seines,Purse seines,,,19.2,38.0
265651066,Fishing vessel,Set gear,Pots and traps,,,10.4,11.69
235001766,Fishing vessel,Trawlers,Trawlers,,,19.81,76.0
235001860,Fishing vessel,Fishing vessel,Fishing vessel,,,24.41,201.0
