mmsi,itu_nonfishing_label,itu_nonfishing_sublabel,itu_nonfishing_fishing
205558000,Tug/Pilot/Supply,Tug,Non-fishing
205565000,Tug/Pilot/Supply,Tug,Non-fishing
205566000,Tug/Pilot/Supply,Tug,Non-fishing
205575000,Tug/Pilot/Supply,Tug,Non-fishing
205586000,Tug/Pilot/Supply,Tug,Non-fishing
205595000,Tug/Pilot/Supply,Tug,Non-fishing
205600000,Passenger,Passenger,Non-fishing
205618000,Tug/Pilot/Supply,Tug,Non-fishing
205619000,Tug/Pilot/Supply,Tug,Non-fishing
205621000,Tug/Pilot/Supply,Tug,Non-fishing
205626000,Tug/Pilot/Supply,Tug,Non-fishing
205627000,Tug/Pilot/Supply,Tug,Non-fishing
205628000,Tug/Pilot/Supply,Tug,Non-fishing
205634000,Tug/Pilot/Supply,Tug,Non-fishing
205636000,Tug/Pilot/Supply,Tug,Non-fishing
205642000,Tug/Pilot/Supply,Tug,Non-fishing
205644000,Tug/Pilot/Supply,Tug,Non-fishing
205982110,Passenger,Sailing,Non-fishing
205982210,Passenger,Sailing,Non-fishing
205982310,Passenger,Sailing,Non-fishing
205982410,Passenger,Sailing,Non-fishing
