mmsi,reefer_fishing,reefer_label,reefer_sublabel,reefer_length,reefer_tonnage
311121000,Nonfishing vessel,Reefer,Reefer,,
311122000,Nonfishing vessel,Reefer,Reefer,,
311123000,Nonfishing vessel,Reefer,Reefer,,
311127000,Nonfishing vessel,Reefer,Reefer,,
311289000,Nonfishing vessel,Reefer,Reefer,,
311294000,Nonfishing vessel,Reefer,Reefer,,
311295000,Nonfishing vessel,Reefer,Reefer,,
311296000,Nonfishing vessel,Reefer,Reefer,,
311297000,Nonfishing vessel,Reefer,Reefer,,
311367000,Nonfishing vessel,Reefer,Reefer,,
311411000,Nonfishing vessel,Reefer,Reefer,,
311433000,Nonfishing vessel,Reefer,Reefer,,
311449000,Nonfishing vessel,Reefer,Reefer,,
311461000,Nonfishing vessel,Reefer,Reefer,,
311663000,Nonfishing vessel,Reefer,Reefer,,
311665000,Nonfishing vessel,Reefer,Reefer,,
311667000,Nonfishing vessel,Reefer,Reefer,,
311668000,Nonfishing vessel,Reefer,Reefer,,
311907000,Nonfishing vessel,Reefer,Reefer,,
311955000,Nonfishing vessel,Reefer,Reefer,,
311956000,Nonfishing vessel,Reefer,Reefer,,
311957000,Nonfishing vessel,Reefer,Reefer,,
312097000,Nonfishing vessel,Reefer,Reefer,90.51,3124.0
312174000,Nonfishing vessel,Reefer,Reefer,92.23,3246.0
312273000,Nonfishing vessel,Reefer,Reefer,148.67,12413.0
312284000,Nonfishing vessel,Reefer,Reefer,,
312377000,Nonfishing vessel,Reefer,Reefer,,
312387000,Nonfishing vessel,Reefer,Reefer,,
312413000,Nonfishing vessel,Reefer,Reefer,,
312534000,Nonfishing vessel,Reefer,Reefer,76.67,2617.0
312621000,Nonfishing vessel,Reefer,Reefer,152.94,12413.0
312774000,Nonfishing vessel,Reefer,Reefer,77.81,1610.0
312820000,Nonfishing vessel,Reefer,Reefer,,
312844000,Nonfishing vessel,Reefer,Reefer,,6545.0
312845000,Nonfishing vessel,Reefer,Reefer,111.96,3936.0
312862000,Nonfishing vessel,Reefer,Reefer,108.76,3960.0
312887000,Nonfishing vessel,Reefer,Reefer,121.005,4970.0
312932000,Nonfishing vessel,Reefer,Reefer,,
314010000,Nonfishing vessel,Reefer,Reefer,,
314011000,Nonfishing vessel,Reefer,Reefer,,
314236000,Nonfishing vessel,Reefer,Reefer,,
334567000,Nonfishing vessel,Reefer,Reefer,,
334816000,Nonfishing vessel,Reefer,Reefer,,
