mmsi,shipname,callsign,length,width,power,tonnage
257210240,NORHAV,LK9919,12.99,4.74,291,NA
257210340,JUNE,LK9799,10.55,3.46,154,NA
257210600,VIVI,LK9120,8.72,3.02,240,NA
257210620,CAMILLA,LM2753,10.64,3.0,104,10
257210740,KURTI,LF411Z,NA,NA,NA,NA
257211320,PROSENTEN,LM2781,NA,NA,NA,NA
257211340,FISKENES,LK9913,10.99,3.74,715,NA
257211840,HAVBLIKK,LK9983,12.2,4.06,590,NA
257212240,GAMMEL SJARKE,LM8190,10.32,3.5,125,9
257212340,SJOSVANEN,LK9894,10.66,4.09,350,NA
257212420,FAGERHEIM,LM2814,10.6,3.8,145,12
257212500,JENSEGUTT,LK9119,8.6,2.84,230,NA
257212520,NIKITA F-34-LB,LM2816,NA,NA,NA,NA
257212720,MERCUR,LM2828,12.32,3.83,250,19
257213620,OYVERING,LM2855,10.38,3.26,108,11
257213740,STENSOEY,LM6518,10.36,3.22,150,9
257213840,ORIGO  F-47-BD,LK9982,10.65,3.57,450,NA
257213920,LANGHOLM,LM2862,12.1,4.43,238,18
257214000,JOKUL,LALD,37.95,9.0,1414,NA
257214140,VALDEROY,LG2126,10.38,3.4,369,NA
257214320,HAVTERNA,LM2870,10.6,4.15,155,13
257214420,SOLVIK,LM2871,NA,NA,NA,NA
257214520,HAVSULA,LM2873,10.98,3.1,105,12
257214540,THEO MIKAL,LK9814,12.05,3.98,500,NA
257214640,ELJAN,LK9994,10.3,3.42,340,NA
257214820,GULLFJELL,LM2880,10.56,3.86,131,12
257215000,KYSTFISK JR,LDYW,21.15,6.5,630,127
257215140,EKENBORG,LK 9911,NA,NA,NA,NA
257215220,J.R.MARITA,LM2886,10.01,3.02,127,9
257215240,RAMBO I,LG 2082,NA,NA,NA,NA
257215420,SOLGLOTT,LM2890,10.02,2.91,100,10
257215640,TRYGG,LK9882,14.95,5.82,530,24
257215740,FROYVARING ST55F,LK9823,10.66,3.88,250,NA
257215920,SANDNESBUEN,LM2903,10.38,3.67,110,8
257216020,ODIN,LM2904,14.98,5.03,310,24
257216120,PIRAYA,LM8993,10.52,4.2,160,NA
257216220,BRENNING. 90412625,LM2907,9.75,3.13,72,9
257216240,CHRISTINA,LG2105,NA,NA,NA,NA
257216440,TITRAN,LG2089,NA,NA,NA,NA
257216500,KROSSFJORDFISK,LF5338,NA,NA,NA,NA
257216520,KYSTVAERING,LM2927,10.55,3.46,109,12
257216620,WAAGOEY,LM2928,NA,NA,NA,NA
257216640,JOHN REIDAR,LF4143,7.5,2.65,66,NA
257216940,SJOSTJERNA,LK5692,10.43,3.7,185,12
257217140,BERGSVAAG,LG2299,12.22,3.89,250,NA
257217240,KRISTIAN MICHEL,LK 9909,NA,NA,NA,NA
257217920,BIFANGST,LM2950,9.53,3.4,127,8
257217940,FJORDGLANS,LG 2246,NA,NA,NA,NA
257218040,EINVIKBUEN,LG2399,10.99,4.52,262,12
257218120,SIV,LM2954,9.11,3.22,72,8
257218440,ELLINORA,LF4163,NA,NA,NA,NA
257218640,FANDANGO,LG2355,10.3,3.28,340,5
257218740,OEYGUTT,LG2049,10.3,3.9,300,8
257219000,NORTHEASTERN,LMZR,57.65,8.5,1650,NA
257219020,TELLUS,LM2965,14.21,4.71,250,23
257219040,FORDE,LK6642,10.53,3.34,152,11
257219120,LANES,LM2968,10.01,2.98,125,10
257219140,VALDEROY,LK9402,10.4,3.92,330,NA
257219340,MIR  LG2472,LG2472,10.64,5.02,330,NA
257219840,DELFIN,LG2531,9.25,3.1,210,NA
257220040,ANNE-KRISTIN,LF4171,NA,NA,NA,NA
257220140,HAVBUEN,LM2914,9.27,3.15,84,8
257220220,MATS BOERGE,LM2993,12.14,4.25,218,18
257220320,NEMO,LM2994,10.65,3.77,244,12
257220340,KAAPA,LK 2643,NA,NA,NA,NA
257220440,SJOBLOMST,LK9813,10.65,4.17,243,NA
257220620,JENNY,LM 2998,NA,NA,NA,NA
257220740,SELFJORD,LG2574,NA,NA,NA,NA
257220820,SENHOLMBUEN,LM 3001,NA,NA,NA,NA
257220940,ROEDOEY,LM6679,9.98,3.23,270,10
257221120,VAARHEIM,LM 3032,NA,NA,NA,NA
257221500,KURT ENDRE,LK3516,14.98,5.4,311,24
257221640,NORVEIG,LG2615,14.35,5.38,291,NA
257221740,VARLINER,LG2811,10.99,3.74,650,NA
257222040,TANTEYEN,LG 2786,NA,NA,NA,NA
257222222,RJNF1,,NA,NA,NA,NA
257222620,STROEMVAERING,LM3098,14.63,4.82,260,24
257223120,KLIPTON,LM3127,13.44,4.52,195,17
257223620,SOLTIND,LM3154,14.51,4.67,350,23
257224020,DANIEL-ANDRE,LM3165,15.48,4.82,320,22
257224500,JORN Y,LK2509,8.0,2.7,76,NA
257225000,SEIR,LLFV,39.94,10.58,1305,NA
257226320,FLAAGRUNN,LM3312,NA,NA,NA,NA
257226520,MAGNA,LM3325,12.65,4.11,245,14
257229000,ROSENBORG,LAGH,39.7,9.0,917,173
257230320,HELENE,LM3465,8.63,2.71,60,4
257230520,LUSKIN,LM3471,10.21,3.6,130,9
257233520,NYBAAEN,LM3553,14.75,4.41,192,24
257233920,ULVEN,LM3571,NA,NA,NA,NA
257234000,FONNES,LMWF,57.5,12.8,3700,NA
257235600,VIKAHAV,LF5351,NA,NA,NA,NA
257235720,SOLNESBUEN,LM3632,NA,NA,NA,NA
257236600,TRYGG,LF5353,10.65,4.0,100,NA
257237420,TOROLV,LM3699,15.7,4.89,291,24
257237800,BOLGA,LG6996,12.98,4.62,400,47
257238320,SANDVIKNES,LM3737,14.99,4.59,238,24
257239500,CARISA,LF5355,10.64,5.18,261,NA
257241920,ODD EGIL,LM3872,12.47,3.96,155,14
257245020,SKOGNES,LM3994,14.4,4.42,330,16
257245220,SARA KARIN,LM4000,15.66,4.72,380,34
257245620,NYFISK,LM4005,NA,NA,NA,NA
257246420,NOVOS,LM4026,15.54,4.69,300,24
257246800,FUJI,LF5360,NA,NA,NA,NA
257246820,KIMMEN,LM4044,10.14,3.06,120,9
257247000,DOGGI,LLIA,39.79,10.5,2500,NA
257247020,FANGST,LM4050,9.45,3.05,115,9
257247500,OSKAR S,LK9011,10.36,3.36,340,NA
257248000,NORDOERN,LLIG,39.99,10.5,2500,NA
257248020,HAVBRUA,LM4076,NA,NA,NA,NA
257248800,HAAR-BAAEN,LF6253,10.66,3.58,300,NA
257249020,JUNI,LM4106,8.69,2.77,76,5
257250000,RODHOLMEN,LCMN,75.0,12.0,7242,NA
257250320,BERLEVAAGJENTA,LM4180,14.78,4.54,320,24
257251600,BUGOEY,LG7165,10.65,3.84,500,8
257251700,MINA MARIE,LG 6931,NA,NA,NA,NA
257251900,RANDI HELENE,LF5362,NA,NA,NA,NA
257252220,VIKING,LM4236,11.96,3.9,186,14
257252700,FOMA,LM5322,10.53,3.89,210,NA
257252820,GULASKJAER,LM 4261,NA,NA,NA,NA
257253220,TYRANN,LM4281,NA,NA,NA,NA
257253620,RONVIKBUEN,LM4307,14.11,4.42,210,18
257254000,TRASAVIK,LNTU,26.5,7.52,850,250
257254920,NYGRUNN,LM4347,15.61,4.6,270,24
257256020,HAVELLA,LM4368,8.57,2.68,82,6
257256120,TOMA,LM4369,NA,NA,NA,NA
257256420,LUND SENIOR,LM 4380,NA,NA,NA,NA
257258000,REINEFANGST,LMEC,22.55,6.7,830,157
257258420,NY HURTIG,LM4449,9.45,3.2,68,8
257259320,REINBOEN,LM4465,15.61,4.6,275,24
257260020,HAVUNG,LM4478,NA,NA,NA,NA
257260120,SALTVAERING,LM4481,15.48,4.97,300,25
257260720,HAVDUR,LM4498,9.4,3.1,100,8
257260800,LINN S,LG7186,10.3,3.4,340,NA
257261320,LINN,LM4517,8.6,2.65,90,8
257261720,OLAV BORRE,LM4529,10.08,3.08,127,8
257262800,STIG ROAR F-114-LB,LG6881,9.86,3.6,130,NA
257263000,MIDOY VIKING,LCFQ,NA,NA,NA,NA
257263320,ODD INGE,LM 4570,NA,NA,NA,NA
257263420,LYKKEN,LM4573,10.1,3.14,230,7
257263500,LARSTEIN II,LG6515,8.63,3.17,407,NA
257263800,ROBINE,LF5371,NA,NA,NA,NA
257265000,JOHAN RUUD,LEDR,NA,NA,NA,NA
257265320,ORBIT,LJBR,14.98,5.02,328,24
257266920,MINIBANKEN,,NA,NA,NA,NA
257267700,GUIDE,LK3610,NA,NA,NA,NA
257269420,ROWENTA 2,LM4884,16.0,4.8,246,24
257270120,NYLON,LM4899,9.6,3.11,68,6
257271220,OMEGA,LM4922,10.22,3.15,96,8
257271320,ALBEN,LM4923,10.26,3.23,127,8
257271520,FLEINBUEN,LM4926,10.28,2.99,95,8
257271600,HAVBRYN,LDBT,69.9,15.4,6100,NA
257271620,NOREGGA,LM4927,10.04,2.99,127,8
257271920,MK-VESLA,LM4935,10.58,3.35,127,10
257272220,FREMTID,LM 4940,NA,NA,NA,NA
257272520,SPUTNIK,LM 4947,NA,NA,NA,NA
257272900,HELLEM JR.,LG 7302,NA,NA,NA,NA
257273900,MOWI STAR,LHOI,NA,NA,NA,NA
257274920,NEPTUN,LM5024,10.96,3.66,110,10
257276500,MARKUS,LK8447,8.68,2.78,200,7
257277420,TORE F34-BD,LM 5091,NA,NA,NA,NA
257277520,SJOETIND,LM5098,10.5,3.6,230,12
257279020,NY-PERLON,LM5140,11.34,3.99,182,13
257281000,STAALBAS,LNXH,58.75,9.4,2200,NA
257281500,GUNBJORG,LF2893,9.75,3.2,135,9
257281700,SPJAERLYS,LG7314,12.65,4.5,310,21
257282120,UNN,LM5223,9.97,2.99,120,8
257282700,VAAGAN AA-5-G,LG6774,14.99,6.0,650,NA
257282720,BRUNVOLL,LM5233,10.5,3.58,110,12
257283520,LINSKJAER,LM5248,NA,NA,NA,NA
257284000,VEA,LMMJ,60.4,12.4,3900,NA
257284600,SULAVAAG 1,LG7164,12.19,3.99,270,NA
257284900,BOLGEN,LK2094,10.6,3.9,110,14
257285220,NY-TERJE,LM5296,10.98,3.73,200,12
257285420,VAAGSTRAND,LM5302,10.09,3.1,190,8
257285520,ODDBJORN,LM5303,15.45,4.66,291,22
257286600,VARANGERJENTA,LK2149,9.87,3.35,120,9
257287220,TOR-KAARE,LM5331,8.63,2.71,68,6
257287700,SJOGUTTEN,LK2281,8.44,2.69,65,5
257288820,GEIR RUNE,LM5370,9.5,3.2,100,7
257289320,TAREBAS,LM5377,NA,NA,NA,NA
257289720,VENGSOYVAERING,LM5385,15.36,4.69,238,24
257290420,FALKEN,LM 5408,NA,NA,NA,NA
257290620,LUNA,LM5412,8.63,2.71,74,5
257291320,BEATE,LM5439,10.61,3.87,203,14
257291420,CELINA,LM5440,10.25,3.23,115,7
257292020,AURORA,LM5450,9.45,3.05,90,7
257292500,NORDLYS,LM8772,9.8,3.48,82,9
257292620,OLE HENDRIK,LM5463,15.25,4.69,345,24
257294120,KETHO,LM5507,10.3,3.1,120,8
257294720,BUSKALG,LM5533,NA,NA,NA,NA
257296500,LEIKA,LK2410,8.6,2.69,76,6
257296820,FJORDFISK,LM5575,10.61,3.96,150,16
257298320,VILJAR,LM5614,NA,NA,NA,NA
257298420,PROVEN,LM5617,9.52,3.52,116,7
257298620,THOMAS,LM5628,9.72,3.41,112,11
257298820,LYNGOEYBUEN,LM 5631,NA,NA,NA,NA
257298920,LOVENG,LM5632,10.6,3.05,80,7
257299720,TROND YNGVE,LM5655,10.61,3.87,117,14
257299920,SOLSTEIN,LM5659,10.97,3.7,130,NA
257300320,SKIPPY,LM5671,9.45,3.05,100,6
257300700,ANETTA,LM 9991,NA,NA,NA,NA
257300740,VERONICA,LG 3897,NA,NA,NA,NA
257300940,RAGNHILD EMILIE,LG 2650,NA,NA,NA,NA
257301040,STIG HARRY,LG3839,12.98,5.0,400,NA
257301120,ARIEL N-38-SO,LM5689,10.6,3.41,168,12
257301540,NYHAV,LG2416,9.05,3.3,340,NA
257301620,NORHAVET,LM5696,10.52,3.57,120,12
257301640,LEISUND,LG 3944,NA,NA,NA,NA
257301840,SJONAPP N-39-F,LG3732,10.99,4.72,260,NA
257301940,GUNN ANITA,LG3804,14.63,6.86,515,NA
257302040,VOGIN,LG3439,10.48,2.8,147,NA
257302140,SJARMOER,LCGM,36.34,10.0,1304,NA
257302240,SOLOYBAS,LG2259,11.43,3.64,430,NA
257302620,TARVIKBOEN,LM5712,10.99,3.78,218,10
257302720,GLUECIFER,LM5713,10.13,4.11,122,13
257302740,RIDDU,LG3687,9.99,3.36,360,NA
257302940,VAAGAR,LG3912,9.69,3.1,222,NA
257303000,SPJAERINGEN SENIOR,LLGB,22.05,7.5,650,185
257303040,YTTEROEY,LG4020,10.65,3.97,235,NA
257303140,HEIMEN 2,LF4255,8.81,3.2,70,6
257303240,RAMSOYFJORD,LK5687,10.14,3.1,202,9
257303320,LILJA,LM5722,10.62,3.89,200,14
257303420,JON VIKTOR,LM5723,10.61,3.87,190,14
257303620,ORION,LM5727,10.35,3.12,115,7
257303720,ELIAS,LM 5739,NA,NA,NA,NA
257303740,MATHILDE,LG4000,10.42,3.28,369,NA
257303920,LENE-MARI,LM5743,10.62,3.89,185,14
257304140,BJORNSSON,LG3998,10.66,3.74,610,NA
257304220,BAARHOLMEN,LM5749,10.53,3.51,167,16
257304340,MERLIN,LG4039,10.65,3.97,175,NA
257304540,SORHAV,LG4010,10.66,4.0,425,NA
257304600,MEA,LM9782,10.36,3.3,200,11
257304820,SANDFLAESA,LM5781,10.64,3.87,180,14
257304940,SJOGUTT,LG4138,12.96,4.61,829,NA
257305000,SULEBAS,LECW,38.55,9.5,1000,499
257305040,VESTERELVJENTA,LG3987,10.66,3.74,500,NA
257305140,SYNOY,LM9353,10.5,3.15,155,11
257305240,SIRENE,LG3689,10.18,3.42,369,NA
257305340,NYBAKKEN,LG 4198,NA,NA,NA,NA
257305840,SJOSPROYT,LG3986,10.63,3.88,650,NA
257305940,STRILAJENTO II,LM5034,10.64,3.32,175,9
257306040,TORSTEINSON,LF4268,NA,NA,NA,NA
257306140,CARIANE,LG4252,10.42,3.46,369,NA
257306420,BETTY ILONA,LM5824,8.8,2.68,115,6
257306440,NYSUND,LF4273,9.69,3.1,222,NA
257306620,NORMANN,LM5831,10.61,3.87,130,14
257307040,NORDMANNSET,LG3965,8.73,2.57,360,6
257307120,STORMSUND,LM5846,9.39,3.15,78,9
257307240,INGRID ELISABETH,LG4204,10.01,3.36,369,NA
257307340,GRIMSHOLM,LG4182,12.98,4.22,1015,NA
257307540,ONSOYGUTT 2,LM 4477,NA,NA,NA,NA
257307720,STORMSKJAR,LM5859,12.04,3.58,152,12
257307840,HANNE MARTINE F-48-G,LG4211,10.01,3.36,369,NA
257307940,HAVSULA,LF5153,10.23,3.1,184,5
257308040,ELISE KRISTIN,LG4379,12.92,4.6,873,NA
257308140,HETLEVIKING,LG4260,12.95,5.0,340,NA
257308500,HAVSKOY I,LM9713,10.62,3.89,152,15
257308620,MERETHE II,LM5885,8.63,2.71,68,6
257308640,HABRAND,LG3567,12.83,5.66,280,43
257308720,STORBOEEN,LM5886,10.6,3.85,210,14
257308740,RISOY,LG4516,14.88,5.59,450,NA
257308840,BARSNES,LG4383,10.65,3.78,429,NA
257308940,HOELABUEN,LG4528,10.62,4.52,265,NA
257309220,ANDHELLA,LM5895,15.67,4.68,410,23
257309240,RISYFJORD 2,LG3848,NA,NA,NA,NA
257309320,KEN STIAN,LM5897,10.61,3.87,150,14
257309340,LINNEA,LG4205,NA,NA,NA,NA
257309440,MARIANN,LG2990,10.66,4.72,300,15
257309640,SANDERGUTT,LK8503,9.68,3.05,222,NA
257309840,SOLENG SENIOR,LG2029,10.65,4.6,200,NA
257310340,STREIF,LG4550,NA,NA,NA,NA
257310540,TOR MAGNUS,LG4468,10.66,3.97,175,NA
257310640,AUSTBRIS,LK9305,10.62,4.1,152,NA
257310740,AMOY,LG4729,10.66,3.42,500,NA
257310840,CLARA F-7-TN,LG4710,9.69,3.1,222,NA
257311040,HELLEGUTT,LK2144,9.58,3.46,115,8
257311120,ROYAL,LM 5948,NA,NA,NA,NA
257311140,HEIDI,LG4389,12.97,4.58,829,NA
257311240,CINDY,LG4727,10.65,3.81,500,12
257311420,LARS ANDREAS,LM5951,14.11,4.66,280,22
257311520,BRINCA,LM5952,8.63,2.71,68,6
257311640,LILJEN,LK6434,10.66,3.45,160,8
257311720,HELLA,LM-5954,NA,NA,NA,NA
257311740,LARS EINAR,LK3949,10.6,4.0,152,12
257311940,JAN-OSKAR,LG4822,12.96,5.12,291,NA
257312040,STIG ARILD,LM9967,10.11,3.16,85,10
257312140,HEIMDAL II,LF4281,10.34,3.04,125,9
257312220,VESTER JUNIOR,LM5970,10.61,3.87,185,14
257312340,BUAGUTT,LG4735,13.58,4.18,350,21
257312440,RYSTADBUEN,LM8613,10.55,3.4,152,10
257312540,VARDOYFISK 2,LG4390,12.95,4.59,829,NA
257312640,NATHANIEL,LG4732,10.65,3.79,500,NA
257312740,VIKTORIA H,LG 4762,NA,NA,NA,NA
257312840,KENNETH,LG4803,10.64,3.99,175,12
257312920,HESTHOLMEN,LM5990,10.6,3.8,131,14
257313120,HENDANES,LM5996,10.62,4.07,155,14
257313220,FARMANN,LM6001,9.48,3.08,97,8
257313240,TUSTNATIND,LG4881,12.88,4.27,330,NA
257313340,LYRA,LG4386,9.51,2.57,450,NA
257313420,M/S HAVBRIS JR,LM 6009,NA,NA,NA,NA
257313620,VICTORIA,LM6016,10.8,3.41,152,12
257313640,MOT N15MS,LK9866,10.6,3.39,100,12
257313700,KVALFJORD,LG 7350,NA,NA,NA,NA
257313720,SANDVIK,LM6018,10.6,4.2,117,14
257313740,BJORKAASBUEN,LG4904,10.65,3.76,500,NA
257313900,SENJAFANGST F-86BD,LM-9424,NA,NA,NA,NA
257313940,AUSTVAAG,LG4852,10.65,3.97,154,NA
257314020,SVABERG,LM6022,10.49,3.47,175,11
257314140,HOPSFJORD,LM4920,9.97,2.99,118,8
257314440,ANNA LOVISE,LG4863,10.42,3.4,369,NA
257314900,VEINES,LF3059,8.88,2.64,96,6
257315320,FJORDFISK F-335-LB,LM6050,10.23,3.41,129,11
257315340,CAROLINE F-17-G,LG4104,9.45,2.97,254,6
257315600,KENNETH JOHAN,LF6077,9.0,3.42,340,NA
257315620,SPISSTIND,LM6057,10.61,3.87,152,14
257316120,ANITA HELEN,LM6066,10.62,3.89,210,14
257316240,FREDOY,LG5070,NA,NA,NA,NA
257316320,VALVAERGUTT,LM6070,10.64,3.41,115,10
257316340,CAMO,LG5036,14.84,5.75,550,36
257316600,SVENJA,LG2176,10.3,3.28,369,NA
257316720,GEIR ARNE,LM6077,9.57,3.26,100,7
257317000,GADUS NEPTUN,LDDG,69.8,15.6,6400,NA
257317020,KAPPA,LM6081,12.17,4.18,180,14
257317040,SMOYSUND,LG4641,10.2,3.58,115,NA
257317120,JULIE,LM6082,10.62,3.89,205,14
257317340,OLTER,LG4914,10.6,4.68,208,NA
257317440,ALVOEY,LG4906,10.65,3.82,500,NA
257317800,POLARVIND,LG2279,9.05,3.3,340,NA
257317920,PARTNER,LM6097,9.45,3.05,120,9
257318020,MATHIAS,LM6098,10.62,3.89,180,14
257318220,GROGIS F-105-LB,LM6105,8.23,2.77,50,5
257318620,STORVIK,LM6109,10.04,3.41,112,11
257319320,SJOBREM,LM6125,10.56,3.41,131,12
257319420,HOEVIK,LM6130,10.62,3.89,160,14
257319500,KRAAKOY,LG2456,NA,NA,NA,NA
257319720,DONNING,LM6143,9.57,3.15,68,8
257320600,STROMOY,LG2665,NA,NA,NA,NA
257320700,SEIVIKBUEN,LG2707,NA,NA,NA,NA
257321320,ISLOMEN,LM6172,10.1,3.41,115,11
257321500,BOEFJORD,LG2714,9.96,3.36,369,NA
257321600,ARNE JOHANNE,LG2785,10.3,3.28,368,8
257322320,VIKTORIA N42F,LM6200,9.45,3.29,125,7
257322620,CATHRINE (90620636),LM6205,12.83,3.96,200,17
257322920,SOERHOLMEN,LM6215,9.45,3.05,100,9
257323500,EMBLA,LG3005,9.44,3.05,184,NA
257323620,NYSVANEN,LM6223,10.64,3.41,128,12
257323900,VILMA,LG3322,8.93,2.99,257,NA
257324320,STRAUMEN,LM 6234,NA,NA,NA,NA
257325420,SIVELAND,LM6250,9.45,3.06,180,9
257325720,HAVFLORA,LM6256,12.83,3.96,156,17
257326020,M/K KUNTZEGUTT,LM6264,12.96,3.96,285,17
257326120,SENJAGUTT,LM6270,10.62,3.89,182,14
257326420,HILMARSON,LM6281,9.72,3.41,102,12
257326920,NERO F-35-G,LM6291,10.61,3.06,136,8
257327000,MALENE S,LMWR,68.3,14.0,7507,NA
257327120,ROBIN,LM6297,12.83,4.26,156,18
257327320,R VEGAR,LM6301,9.48,3.1,102,7
257327420,SMAASKJER,LM 6302,NA,NA,NA,NA
257328420,WESTEGG,LM6317,10.61,3.41,175,12
257328520,HAVSULA,LM6318,10.52,3.8,168,12
257328620,AASSJOEN,LM6319,10.98,3.95,250,17
257328920,LINSKJAER,LM6335,9.45,3.06,85,8
257329220,MYREBUEN,LM6339,12.0,3.6,250,15
257329520,FORTUNA,LM6343,9.45,3.06,85,9
257329600,VICMA,LG9311,12.2,3.9,500,NA
257330120,BAAREGUTT,LM6351,8.63,2.68,68,6
257330520,STORSEISUND,LM6356,10.03,3.4,135,9
257330820,FESKARGUTEN,LM 6366,NA,NA,NA,NA
257330920,SOLOY,LM6367,10.48,3.47,122,11
257331820,LEIKNY,LM6381,10.66,3.41,154,12
257331920,KJELL-TORE,LM6382,NA,NA,NA,NA
257332420,JULIE M,LM6389,12.83,3.96,186,17
257332620,HARALD BERGE,LM6393,10.64,3.41,167,10
257333120,MS SJOMANN,LM6409,10.14,3.26,102,8
257333420,JUBAAEN,LM6412,16.05,4.59,354,24
257333520,TERNA F-4-TN,LM6414,9.57,3.08,62,7
257333920,RIVALEN,LM6429,10.64,3.41,103,11
257334700,DOGGEN,LG4096,10.66,3.02,130,7
257334820,TANJA,LM6453,10.49,3.34,162,10
257335120,SIGVE,LM6460,9.45,3.06,80,8
257335220,SVEIN JOHAN,LM6462,10.6,3.41,160,12
257335820,SMAAVAER,LM6476,10.62,3.89,167,14
257336000,GROTLE,LGCT,20.99,8.5,1000,NA
257336420,HAVFLUD,LM6485,12.99,4.08,174,21
257336600,ELIAS,LG4553,10.64,4.17,220,20
257336920,HARDINGBUEN,LM6491,10.49,3.57,135,12
257337020,HAVSTAR,LM6492,NA,NA,NA,NA
257337120,VARGOFISK,LM 6469,NA,NA,NA,NA
257337500,ISBJOERN F-39-G,LG4818,9.9,3.6,430,NA
257337620,SEBASTIAN,LM6503,10.64,3.41,155,11
257337720,KJARTAN K,LM6505,10.62,3.89,190,14
257337820,JIM LENNART,LM6507,10.48,3.47,112,11
257337920,TRONE HEIDI,LM6512,12.15,3.89,250,14
257338500,NORWASTERN,LG4902,9.99,3.59,300,NA
257338720,SKJAERBUEN,LM6526,10.58,3.17,131,8
257339120,KARL MARTIN,LM6532,10.62,3.89,160,14
257340520,STEFAN,LM6569,10.05,3.41,127,12
257340820,GISELOYVAERING,LM6574,14.98,4.88,345,24
257340920,NORDVAG,LM6575,10.1,3.1,130,6
257341120,ROCKMANN,LM6580,10.62,3.89,203,12
257341220,MS FJORDVAAG,LM6582,12.99,4.15,156,17
257341320,JAN EGIL,LM 6583,NA,NA,NA,NA
257341420,GRUNNBAKK,LM6591,NA,NA,NA,NA
257342420,SJOTUN,LM6613,10.49,3.47,130,11
257342720,FRAM,LM6625,10.64,3.41,152,10
257342820,VESTHAVET,LM6629,10.6,3.18,100,3
257343120,LUNHEIM SENIOR,LM6635,10.01,3.12,120,9
257343720,LEISKJOR,LM6644,NA,NA,NA,NA
257343900,CHRISTINA,LM3477,8.26,2.74,85,11
257345120,VERA-MARIA,LM6668,9.45,3.06,68,8
257345220,NOBEL,LM6669,12.83,3.96,260,17
257345520,KILVAERFJORD,LM6680,10.65,3.41,154,11
257345720,CARDINAL,LM6682,13.6,3.96,210,17
257345820,BEKKVIK JUNIOR,LM6683,12.83,3.96,156,18
257346920,BRATTHOLMEN,LM6697,15.6,4.83,322,24
257347320,SANDVAER,LM6703,9.72,3.35,200,9
257347900,HUNTER,LM9244,9.52,3.17,85,9
257348620,LYSOY,LM6722,9.57,3.17,128,8
257348700,K.AMALIE,LM 9171,NA,NA,NA,NA
257348820,OEYVAERING,LM6728,9.48,3.08,72,7
257349120,HAVBRIS,6736,NA,NA,NA,NA
257349500,HORISONT III,JXDJ,33.18,7.2,1020,NA
257349620,KENT ARE,LM6744,9.97,3.06,105,8
257349820,NESABUEN,LM6747,11.95,3.31,102,11
257350520,OYTIND,LM6775,12.8,3.9,250,17
257351120,SILJE,LM 6790,NA,NA,NA,NA
257351420,HAAVARD,LM6801,10.15,3.45,116,10
257351520,POLARVIND,LM6804,10.15,3.38,115,10
257351600,HAVGUTT,LG6007,9.25,3.6,370,NA
257352120,MAYLENE KAMILLA,LM6821,10.62,3.89,175,NA
257352620,MEA  F-10-G,LM6839,10.6,3.4,120,11
257352700,HAAREK,LG6276,10.38,3.44,370,NA
257354020,HAVGULL,LM6881,12.83,3.96,210,17
257354920,UTSIKTEN F-21-LB,LM6896,10.04,3.32,116,10
257355020,HUSVAERSUND,LM6898,12.83,3.96,350,17
257356320,VIKAFISK,LM6936,9.57,3.29,102,9
257357120,OEYGUTT,LM6979,14.01,4.07,210,20
257357700,ULVSTIND,LK2040,9.17,3.09,85,9
257358020,FAXEN,LM7008,9.98,3.3,109,10
257358120,SUSANN,LM7009,10.56,3.8,180,15
257358520,KRISTINE,LM7039,10.58,3.41,120,7
257359120,VESLE-SISSEL,LM7063,10.55,3.41,102,12
257359220,SIMON F-77-LB,LM7064,8.63,2.71,68,6
257360020,JENS EILERT,LM7075,13.54,4.31,310,23
257360220,KAMPEGGA,LM7089,16.18,4.85,330,24
257360320,ROALD JR.,LM7093,9.45,3.14,100,8
257360420,MALENE,LM7094,9.45,3.07,100,9
257361320,SKARSTEIN,LM7116,12.03,3.81,115,15
257362020,SANDRA,LM7132,9.44,3.04,70,8
257362320,MAAROYSUND,LM7136,12.96,4.39,291,19
257362420,THANI F-100-G,LM7137,11.55,3.81,150,16
257367000,QUO VADIS,LHRZ,34.07,9.5,1800,499
257367120,LILL RAINER,LM7215,10.64,3.41,100,9
257367320,SOLSVIK 1,LM7218,NA,NA,NA,NA
257367720,FRIDA SOFIE,LM7234,9.41,3.51,130,8
257367820,ODD ROGER,LM7235,10.61,3.16,68,7
257368020,JANNE LISE,LM7243,9.52,3.72,120,9
257368420,FRIDA K,LM7256,10.65,3.4,130,10
257368520,HANNA,LM7258,10.65,3.6,100,10
257369220,ASTRID KRISTINA,LM 7277,NA,NA,NA,NA
257369520,FJORDFANGST,LM7284,9.72,3.41,130,11
257369900,DALBUEN,LK6999,10.65,3.3,375,12
257370600,OKSEVAG II,LK2966,8.94,3.2,80,7
257371420,EDVARD SENIOR,LM7343,8.84,3.0,130,6
257371920,MOSTRING,LM7356,10.6,3.64,190,12
257372000,OESTERBRIS,LDKM,74.2,15.2,6120,NA
257373220,INGER-ANN,LM7380,8.78,3.29,68,6
257376020,IDA SYNNOVE,LM7449,9.4,3.12,85,NA
257377800,ROBIN,LK3037,8.52,3.51,72,NA
257379820,DYNSKJER,LM7539,10.59,3.6,108,11
257380620,SANDOY,LM7554,14.64,4.34,291,23
257381620,MULAN F-68-G,LM7576,NA,NA,NA,NA
257382220,NAPPSGUTT N-91-F,LM7593,10.52,3.75,160,12
257384020,ROALD SENIOR,LM7630,9.1,3.2,84,5
257384600,LINE,LK3423,10.16,3.02,72,11
257384820,TAIFUN,LM7647,10.3,3.24,150,10
257387000,SKUDE,LNYH,32.11,7.3,850,270
