mmsi,shipname,callsign,length,width,power,tonnage
257035040,FROYMANN,LK5918,14.88,5.75,360,25
257035140,TRIO,LK5985,14.99,5.85,450,25
257035440,ORIANA,LK5970,10.61,3.54,300,12
257035600,HAVNAERINGEN,LK2274,8.35,3.16,130,5
257035740,ROSOEY,LK 5927,NA,NA,NA,NA
257035800,SVANANES,LG5625,9.48,3.66,420,NA
257035940,INGO,LK5867,14.09,5.08,500,23
257036340,OLSTIND,LK5981,12.99,4.5,152,18
257036420,RANDI SOFIE,LF2348,NA,NA,NA,NA
257036540,HELLA,LK5266,8.14,2.65,72,4
257037240,LUNA,LM4443,10.55,3.75,56,12
257037440,TORSTEIN,LM2029,9.27,3.14,72,8
257037500,SOFIE,LK 2914,NA,NA,NA,NA
257038040,HAVOEY,LK6049,14.96,5.7,405,NA
257038140,MAILEN,LF3387,10.2,3.1,120,11
257038740,NORDSTRAND,LK6028,10.99,3.58,152,22
257038840,VILJIA,LK5572,7.13,2.6,48,3
257038940,RISHOLM,LM3903,14.78,5.03,250,19
257039740,KNUT M,LK5088,13.54,4.56,245,20
257040440,STRATOS,LK5957,12.95,4.55,275,23
257040900,TIKO,LF5206,8.84,2.9,65,NA
257041440,HAVLYS,LK6160,14.99,5.89,291,25
257041500,VIKAN,LF5207,8.17,2.87,22,5
257041700,TONO,LG 4702,NA,NA,NA,NA
257041800,BRENNAJENTA,LM4049,10.12,3.26,165,12
257041940,OEYFJORD,LK3231,12.2,4.18,178,15
257042320,TAREVIKING,LK3810,NA,NA,NA,NA
257042540,VANJA,LK5983,14.16,4.4,250,25
257042600,SILVER,LF5208,10.63,3.58,222,NA
257042640,LINAS,LK 6144,NA,NA,NA,NA
257043040,FJODORN,LM4840,10.3,3.44,62,9
257043140,FROMAR,LK6165,11.48,3.72,155,15
257043540,ROSA JADE,LK6191,11.85,4.62,330,17
257043800,VAGGE +47 97745572,LG5529,10.01,2.8,370,NA
257044320,GLITTERTIND,LF2472,NA,NA,NA,NA
257044340,AUD ANITA 45505204,LK6067,12.11,4.02,208,18
257044500,THEA,LM5710,NA,NA,NA,NA
257044640,DOENNING 2,LG3997,9.69,3.1,185,4
257044840,ANNJO,LK 6203,NA,NA,NA,NA
257045140,TOPAS,LK6223,10.55,3.46,160,11
257045240,AURSOY,LK4100,14.21,4.37,245,23
257045940,VENGSOYBUEN,LK6225,14.98,5.82,473,65
257046040,FJORDBUEN,LK5341,10.6,3.8,130,12
257046220,NYBROTT,LF2500,9.0,2.9,65,7
257046600,GANNFLAESA,LF5214,NA,NA,NA,NA
257046840,KLEPPEN,LK3064,14.04,4.27,300,23
257046900,PAX,LK7869,10.64,3.64,154,NA
257046940,SANDOESUND,LK 6284,NA,NA,NA,NA
257047240,OERNES,,NA,NA,NA,NA
257047740,VAAGAR,LF3427,NA,NA,NA,NA
257047900,DRISTIG,LG5687,10.63,3.48,250,NA
257048900,KARINA,LF5219,NA,NA,NA,NA
257049140,MONA,LK6245,10.66,3.63,156,12
257049240,LINDSJOE,LK4961,12.02,4.32,205,18
257049500,FJORDBOY,LLFN,NA,NA,NA,NA
257050440,HORISONT,LK6269,14.92,5.54,370,25
257050640,TROLLABUEN,LK4727,10.67,3.6,152,12
257050740,VERONIKA,LK4652,10.7,4.0,180,12
257051140,SULETRAAL,LK3774,NA,NA,NA,NA
257051240,SOLOEY F-157-LB,LK7117,8.4,2.75,65,5
257052600,NORDGRUNN,LF5224,NA,NA,NA,NA
257053240,ELIAS,LK6401,12.99,5.05,316,21
257053440,VARNA,LK4919,14.07,4.52,245,23
257053600,VARG,LF5225,NA,NA,NA,NA
257053740,FISKESKJAER,LK5207,8.9,2.85,70,7
257053940,AARVIKEN,LK 6312,NA,NA,NA,NA
257054140,ODIN,LK6417,10.65,3.6,152,12
257054640,JOFFRE,LK5361,9.9,2.94,120,8
257054740,SEIBUEN,LK6447,14.1,4.22,250,18
257054800,UNNI,LF5226,10.63,3.58,250,6
