mmsi,clav_TUVI,rfmo_id,length,tonnage,power
432475000,570,12043,50.69,439.0,NA
440617000,938,8361,49.47,427.0,1200.0
416202700,14224,15596,30.0,98.0,750.0
224040000,7997,8811,29.3,149.0,NA
432468000,636,12009,52.19,469.0,NA
366245070,676,14498,22.92,93.0,500.0
431791000,1140,4413,49.9,423.0,NA
416004098,16177,15266,21.5,99.0,940.0
367134190,73,13114,19.69,80.0,343.0
338287000,1040,10977,17.67,52.0,440.0
412420896,24532,15544,41.0,462.0,979.0
416822000,1083,8677,54.85,711.0,1400.0
441869000,24714,15240,32.57,173.0,1e3
416220900,508,14387,29.4,98.0,940.0
367500440,1261,14578,17.98,63.0,350.0
366207630,4340,14050,21.82,102.0,620.0
412205130,1798,12425,48.6,626.0,1200.0
412439607,14417,9535,61.94,1284.0,NA
224933000,1509,8755,28.0,201.0,357.0
338192000,5074,5779,30.44,86.0,1200.0
367331760,25091,15362,21.64,99.0,600.0
367575760,26544,15865,17.67,83.0,600.0
500430,556,4901,49.3,379.0,999.0
440821000,122,8431,47.21,384.0,1e3
576850000,1198,9335,48.6,498.0,NA
440944000,8,8233,44.75,353.0,1200.0
440503000,1126,8355,49.77,424.0,1200.0
440590000,419,8427,47.21,385.0,1e3
224096840,8171,14941,28.2,185.0,402.0
431797000,1236,4711,49.99,432.0,NA
432918000,22283,15315,49.99,439.0,1001.0
431702850,1153,4721,43.88,319.0,NA
224018440,7950,8769,31.0,143.0,NA
431704420,589,5463,48.4,409.0,NA
431298000,561,4859,49.99,409.0,NA
441812000,21036,8709,51.19,488.0,1600.0
416003600,2125,15564,53.7,535.0,1100.0
431938000,661,4879,49.2,386.0,1e3
224154000,479,12131,46.45,378.0,NA
224120000,1481,8879,33.0,326.0,430.0
416230600,241,14390,23.95,97.0,939.5
432942000,24360,15568,50.59,436.0,1001.0
441650000,871,4903,48.11,398.0,1e3
440782000,270,8163,49.91,408.0,1200.0
224544160,738,6389,28.6,248.0,540.0
431869000,1232,4245,49.3,408.0,NA
224267000,1343,12141,32.85,331.0,590.0
416705000,21739,8653,54.85,708.0,1400.0
316024796,21279,14843,13.64,30.0,127.0
224101940,8189,14922,28.45,235.0,402.0
413011000,520,9437,48.6,523.0,NA
431893000,1268,4163,51.4,439.0,NA
416641000,1215,105,55.75,712.0,1200.0
224371000,745,12363,40.3,399.0,878.0
431700190,374,12047,32.56,148.0,NA
431739000,416,4911,49.3,422.0,707.0
735057587,2051,4114,74.66,1997.0,NA
353185000,23986,14327,114.82,4150.0,NA
431813000,138,4417,49.99,409.0,NA
367666000,14394,3361,79.27,1836.0,NA
367767000,15657,12482,71.79,1284.0,NA
416002116,14234,14360,29.2,98.0,600.0
413462010,409,8183,40.01,432.0,1e3
224016930,8103,14928,24.7,132.0,271.0
