,lat_bin,lon_bin,f0_
344,21,153,288.778333333
345,-45,6,4.7825
346,11,-21,268.128055556
347,-36,39,817.607638889
348,56,156,28.4184722222
349,59,-165,889.45625
350,36,152,1607.06194444
351,-44,-1,1518.85555556
352,-22,101,143.034027778
353,12,-44,32.0825
354,34,174,545.599722222
355,-17,2,218.279722222
356,-26,-171,173.054305556
357,-27,160,60.93875
358,-34,-165,319.971388889
359,-34,81,400.906111111
360,76,48,88.3319444444
361,-22,7,215.527916667
362,62,-28,886.8325
363,-31,-173,479.818055556
364,-32,-141,304.815555556
365,-35,74,91.2636111111
366,78,8,881.654166667
367,-6,-89,0.976805555556
368,-32,-174,194.885416667
369,-22,108,3.78569444444
370,19,-126,32.5118055556
371,-35,63,26.2943055556
372,42,-37,130.064861111
373,-32,105,262.133333333
374,43,-32,67.10125
375,-5,-99,0.79875
376,-15,150,0.689722222222
377,-32,-124,306.742916667
378,43,-26,114.609305556
379,64,-58,86.8188888889
380,89,3,13.4523611111
381,29,-88,46.7398611111
382,53,-137,0.681944444444
383,42,159,1509.33305556
384,-31,104,153.67125
385,17,-64,15.1679166667
386,8,132,53.1419444444
387,20,-52,4.39583333333
388,39,-178,111.002638889
389,-35,-46,195.702777778
390,54,178,231.580694444
391,20,-96,59.7955555556
392,-30,-111,14.1379166667
393,-20,-72,40.2318055556
394,40,176,134.160972222
395,14,51,17.3738888889
396,4,139,91.4188888889
397,77,36,1172.14958333
398,-34,-120,98.1318055556
399,70,2,227.46
400,71,-6,6.55541666667
401,12,84,54.4266666667
402,-33,-146,133.423194444
403,74,9,0.824027777778
404,8,-173,6.24166666667
405,-2,91,27.4354166667
406,10,-164,37.3706944444
407,35,-168,45.2091666667
408,68,-17,101.530972222
409,-28,-1,572.623611111
410,-25,0,127.622222222
411,-17,102,11.0626388889
412,-54,-34,5.15833333333
413,63,-169,4.29069444444
414,-32,-34,67.2418055556
415,77,38,147.136527778
416,68,-9,3.31861111111
417,-12,57,769.573611111
418,65,-176,250.41875
419,9,-162,0.836805555556
420,-7,96,8.38083333333
421,-59,-96,13.3583333333
422,-28,-33,48.0543055556
423,2,79,18.3090277778
424,29,-31,22.6613888889
425,-5,-164,1163.69166667
426,-2,-106,278.741388889
427,-20,50,2829.52333333
428,-8,59,785.222777778
429,-36,135,241.826527778
